material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,49.87798815,23.64193938,9.370447989,9.194087536,7.880646459,0.034890488
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,31.93437439,15.85082624,7.36407188,7.68309695,6.413653008,0.034886917
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,23.5133079,12.94454088,2.250018807,1.497554845,1.59258045,0.034885453
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,14.77339707,7.931189165,3.919335702,1.06954575,1.225118257,0.022910059
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,57.29880358,16.64016974,4.186201247,1.571973017,2.11511397,0.279952339
MEIFS,Misc,EIFS (XPS),./img/mefis.png,70.92581813,9.041302869,4.840915036,0.894105261,0.927915535,5.253764306
MPrecast,Misc,Precast Concrete,./img/mprecast.png,27.25770637,10.4354429,2.706917369,1.91113956,1.581530106,0.016788452
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,10.86064487,7.348422948,1.362244139,0.773565714,1.008489287,0.027822611
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,39.48439918,18.96632402,5.199133056,3.639918779,5.886114765,0.012840354
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,40.80668062,19.93696123,14.44785184,3.682972095,6.868974942,0.193105107
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,36.999831,18.26148223,5.250607828,3.644877988,5.234120921,0.022015833
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,32.20146323,16.51548861,7.7526635,3.580290172,4.70877486,0.054695411
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,35.0195359,16.92198849,4.578159727,3.351936306,3.611804871,0.11433612
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,20.17044252,12.87940018,2.231330119,1.463489436,2.895657963,0.222046616
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,16.20770624,9.095680359,1.920593987,1.263555314,2.032102252,0.026855335
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,25.08775193,16.00526525,6.154050439,2.141660339,3.741398027,0.034321342
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,23.50135794,12.35281829,5.748902496,1.944234434,3.632653196,0.036028741
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,11.63824049,6.979696575,1.648313556,0.969891303,1.780500934,0.227442667
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,16.99420788,9.089149843,1.884163662,1.291091951,1.446483364,0.042276446
RGranite,Rainscreen,Granite,./img/rgranite.png,13.64905046,7.567570188,2.148572778,1.32813907,1.932573787,0.029693282
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,14.29553301,8.130735131,1.69153084,1.098874644,1.281614781,0.036379649
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,12.72401437,7.1687123,2.064614856,1.277413045,1.876638518,0.029693086
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,15.39486902,9.413696768,2.285263603,1.932312017,1.802492955,0.051998988
RWood,Rainscreen,Wood,./img/rwood.png,13.48114144,9.331935585,2.785277998,1.675452577,2.169654361,0.035271723
