material,type,name,img,i1,i2,i3,i4,i5,i6
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,26.51686859,6.774748445,2.618479549,6.407527749,6.312889141,0.000451119
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,25.64307759,6.315228883,4.448681141,7.365037332,4.443275614,0.000427127
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,6.588918752,1.674195926,0.328903868,0.696883924,0.690800425,0.019041903
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,16.69364737,7.185038494,0.765139931,1.390387499,1.0488543,2.47671E-05
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,15.21456193,6.238137406,1.530165288,1.457599981,2.035934971,1.414622138
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,4.067374635,3.39623325,5.211916063,1.976082276,2.292560809,1.624233827
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,10.8697048,2.390583972,0.552651606,0.997988131,0.750592561,5.85508E-06
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,14.03010594,6.270907079,2.867727418,4.88423125,1.279055273,0.145928213
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,14.70928288,7.370367606,2.377200101,3.074778846,4.102335816,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,56.81600227,18.93866742,11.57363009,3.344538475,5.118568975,4.208592761
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,46.1799453,15.5449432,8.908532517,2.760881472,4.098546735,3.40325923
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,30.68516929,10.75032984,4.956048754,1.917773204,2.607515274,2.327879132
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.23326024,2.578128477,1.0498067,1.335994294,1.622298032,0.001687341
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,6.073765498,7.178271052,4.99646346,3.965601338,5.485231344,0.002144125
wCork,Wood,Cork,./img/Axon_Wood.png,-3.850742724,2.708749881,2.434049857,1.927156207,2.221506519,0.003109488
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,-5.131377106,3.607794788,1.817045661,2.045681819,2.790383595,0.001561066
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.194795085,6.504766563,3.149246239,3.631146148,3.980701909,0.00140858
