material,type,value,name,img
sGranite,Stone / Ceramic,4.833480235,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,4.67420609,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.201024489,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,3.041632962,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,2.772624332,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,0.740721158,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,1.981323817,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,2.498,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,2.6366,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,8.37540568,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,6.704499376,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,4.294036609,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,0.042518548,Engineered,./img/Axon_Wood.png
wBamboo,Wood,1.107122637,Bamboo,./img/Axon_Wood.png
wCork,Wood,-0.701911268,Cork,./img/Axon_Wood.png
wSoftwood,Wood,-0.935344599,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,0.035507141,Hardwood Plank,./img/Axon_Wood.png
