material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.072692306,0,0,0,0,0,0,0,0,0,0,3.763541039,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.072692306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330625113,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014750903,0.670399485,0,0,0,0,0,0,0.514053874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.074526239,0,0,0,0.501774996,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,2.329364988,0,0,0,0,0,0.129369666
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.074526239,0,0,0,0.501774996,0,0,0,0.001965,0,0,0,0,0,0,0,0,0,2.094804597,0,0,0,0,0,0,0,0.129369666
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.074526239,0,0,0,0.501774996,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,1.262356031,0,0,0,0,0,0,0.129369666
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,2.007099982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5574,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6812,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.074526239,0,0,0,0.501774996,0,0,0.162735619,0,0,0,9.678976667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.074526239,0,0,0,0.501774996,0,0,0.162735619,0,0,0,0,0,7.734812398,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.074526239,0,0,0,0.501774996,0,0,0.162735619,0,0,0,0,4.893123176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.074526239,1.137488503,0,0,0,0,0.21392326,0,0,0,0,0,0,0,0,0,0,0.473479968,0,0,0,0,0,0,0,0.103176911,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.074526239,2.456975166,0,0,0,0,0.320884891,0,0,2.884184376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103176911,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.074526239,1.637983444,0,0,0,0,0,0,0.00131,0,0,0,0,0,0.409143648,0,0,0,0,0,0,0,0,0,0,0,0.129369666
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.074526239,1.637983444,0,0,0,0,0.21392326,0,0,0,0,0,0,0,0,1.351729846,0,0,0,0,0,0,0,0,0,0.103176911,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.074526239,1.637983444,0,0,0,0,0.21392326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600596121,0,0,0.103176911,0
