material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.068508869,0,0,0,0,0,0,0,0,0,0,3.758316581,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.068508869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325013658,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014750903,0.670399485,0,0,0,0,0,0,0.512852249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.071615094,0,0,0,0.49937247,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,2.329069445,0,0,0,0,0,0.129369666
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.071615094,0,0,0,0.49937247,0,0,0,0.001965,0,0,0,0,0,0,0,0,0,2.094804597,0,0,0,0,0,0,0,0.129369666
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.071615094,0,0,0,0.49937247,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,1.262356031,0,0,0,0,0,0,0.129369666
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,1.997489882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5277,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6589,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.071615094,0,0,0,0.49937247,0,0,0.162735619,0,0,0,8.690183599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.071615094,0,0,0,0.49937247,0,0,0.162735619,0,0,0,0,0,6.87974954,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.071615094,0,0,0,0.49937247,0,0,0.162735619,0,0,0,0,4.244734279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.071615094,0.938134977,0,0,0,0,0.148968828,0,0,0,0,0,0,0,0,0,0,0.427139932,0,0,0,0,0,0,0,0.103176911,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.071615094,2.02637155,0,0,0,0,0.223453242,0,0,2.64349118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103176911,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.071615094,1.350914366,0,0,0,0,0,0,0.00131,0,0,0,0,0,0.398431916,0,0,0,0,0,0,0,0,0,0,0,0.129369666
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.071615094,1.350914366,0,0,0,0,0.148968828,0,0,0,0,0,0,0,0,1.087767139,0,0,0,0,0,0,0,0,0,0.103176911,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.071615094,1.350914366,0,0,0,0,0.148968828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.132419538,0,0,0.103176911,0
