material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014753857,0,0,1.051936338,0,0,0,0,0,0,0,0,0,0,3.756819965,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014753857,0,0,1.051936338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.597135698,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014753857,0.670569651,0,0,0,0,0,0,0.514427551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.071604333,0,0,0,0.492784864,0,0,0,0.00130806,0,0,0,0,0,0,0,0,0,0,0,2.346660084,0,0,0,0,0,0.129913575
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.071604333,0,0,0,0.492784864,0,0,0,0.00196209,0,0,0,0,0,0,0,0,0,2.076698298,0,0,0,0,0,0,0,0.129913575
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.071604333,0,0,0,0.492784864,0,0,0,0.00130806,0,0,0,0,0,0,0,0,0,0,0.045449154,0,0,0,0,0,0,0.129913575
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,1.971139455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5277,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6589,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.071604333,0,0,0,0.492784864,0,0,0.152831474,0,0,0,8.648677004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.071604333,0,0,0,0.492784864,0,0,0.152831474,0,0,0,0,0,6.843856542,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.071604333,0,0,0,0.492784864,0,0,0.152831474,0,0,0,0,4.226435531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.071604333,-0.491947942,0,0,0,0,0.148616234,0,0,0,0,0,0,0,0,0,0,0.119232051,0,0,0,0,0,0,0,0.104629505,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.071604333,-1.062607554,0,0,0,0,0.222924352,0,0,1.501931773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104629505,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.071604333,-0.708405036,0,0,0,0,0,0,0.00130806,0,0,0,0,0,-0.373002264,0,0,0,0,0,0,0,0,0,0,0,0.129913575
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.071604333,-0.708405036,0,0,0,0,0.148616234,0,0,0,0,0,0,0,0,-0.858014153,0,0,0,0,0,0,0,0,0,0.104629505,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.071604333,-0.708405036,0,0,0,0,0.148616234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029701449,0,0,0.104629505,0
