material,type,value,name,img
MVGranite,Masonry Veneer,20.00177791,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,13.20217983,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,10.01128696,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,6.927521792,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,25.86460278,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,27.72634069,EIFS (XPS),./img/mefis.png
MPrecast,Misc,11.50460896,Precast Concrete,./img/mprecast.png
MMinWool,Misc,5.014552232,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,20.19142965,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,20.2334603,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,18.20365198,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,14.76243377,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,16.1389816,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,11.96351477,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,9.217260995,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,15.49378459,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,14.97044397,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,7.637627548,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,7.627259991,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,7.422793372,Granite,./img/rgranite.png
RTBrick,Rainscreen,7.198270254,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,7.072187533,Limestone,./img/rlimestone.png
RSteel,Rainscreen,8.11624378,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,9.416574833,Wood,./img/rwood.png
