material,type,name,name_w_short_type,name_w_long_type,rperinch
blSprayClosedHFC,Blown,Spray Foam (Closed Cell HFC),BL - Spray Foam (Closed Cell HFC),Blown - Spray Polyurethane Foam (Closed Cell HFC),6.2
blSprayClosedHFO,Blown,Spray Foam (Closed Cell HFO),BL - Spray Foam (Closed Cell HFO),Blown - Spray Polyurethane Foam (Closed Cell HFO),6.2
blSprayOpen,Blown,Spray Foam (Open Cell),BL - Spray Foam (Open Cell),Blown - Spray Polyurethane Foam (Open Cell),3.6
blCellulose,Blown,Cellulose,BL -  Cellulose,Blown - Cellulose,3.7
bdXPSlegacy,Board,XPS (Legacy HFC),BD - XPS (Legacy HFC),Board - XPS / Extruded Polystyrene (Legacy HFC),5
bdXPS60,Board,XPS 60 (Low GWP),BD - XPS 60 (Low GWP),Board - XPS / Extruded Polystyrene 60 (Low GWP),5
bdMinWoolHighDens,Board,Mineral Wool (High Density),BD - Mineral Wool (High Density),Board - Mineral Wool (High Density),4.2
bdXPS40,Board,XPS 40 (Low GWP),BD - XPS 40 (Low GWP),Board - XPS / Extruded Polystyrene 40 (Low GWP),5
bdXPS25,Board,XPS 25 (Low GWP),BD - XPS 25 (Low GWP),Board - XPS / Extruded Polystyrene 25 (Low GWP),5
bdEPS,Board,EPS,BD  - EPS,Board - EPS / Expanded Polystyrene,4
bdPolyiso,Board,Polyiso (GRF Facer),BD - Polyiso (GRF Facer),Board - Polyiso / Polyisocyanurate (GRF Facer),5.8
btGlassWoolFoil,Batt,Glass Wool (Foil Faced),BT -  Glass Wool (Foil Faced),Batt - Glass Wool (Foil Faced),3.14
btSheepWool,Batt,Sheep's Wool,BT -  Sheep's Wool,Batt - Sheep's Wool,3.62
btMinWoolLowDens,Batt,Mineral Wool (Low Density),BT -  Mineral Wool (Low Density),Batt - Mineral Wool (Low Density),3.7
btGlassWoolPaper,Batt,Glass Wool (Paper Faced),BT - Glass Wool (Paper Faced),Batt - Glass Wool (Paper Faced),3.14
btGlassWool,Batt,Glass Wool,BT - Glass Wool,Batt - Glass Wool (Unfaced),3.14
btGlassWoolLowGWP,Batt,Glass Wool (Low GWP),BT - Glass Wool (Low GWP),"Batt - Glass Wool (Unfaced, Low GWP)",3.1
