material,type,name,img,label,i1,i2,i3,i4,i5,i6
gButtGlazed,Glass,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed,63,21,3,8,5,1
gHollowMetalFrame,Glass,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame,50,16,2,6,4,1
gWoodFrame,Glass,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame,33,13,2,5,3,1
cFurredOutMFB,CMU,Furred GWB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred GWB,32,10,2,3,1,0
cFurredOutEcosmart,CMU,Furred Low Carbon GWB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low CO2 GWB,29,8,1,3,1,0
cPaintedBlock,CMU,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted,19,6,1,2,1,0
cJandris,CMU,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low CO2 Block,18,6,1,2,1,2
cFurredOutMDF,CMU,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF,26,16,6,6,5,1
ms16MinWoolMFB,Metal Stud,16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Min Wool & GWB,30,11,2,3,2,4
msEmb16MinWoolMFB,Metal Stud,Embossed 16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Emb 16 OC w/ Min Wool & GWB,28,11,1,3,2,3
ms24MinWoolMFB,Metal Stud,24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Min Wool & GWB,28,11,1,3,2,3
msCut24MinWoolMFB,Metal Stud,Cut-out 24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Min Wool & GWB,27,11,2,3,2,4
ms16MinWoolEcosmart,Metal Stud,16 OC w/ Mineral Wool & Low Carbon GWB,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Min Wool & Low CO2 GWB,27,9,1,2,1,4
msEmb24MinWoolMFB,Metal Stud,Embossed 24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Emb 24 OC w/ Min Wool & GWB,26,10,1,2,1,2
ms16GlassWoolMFB,Metal Stud,16 OC w/ Glass Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & GWB,25,10,1,2,1,2
ms16MFB,Metal Stud,16 OC & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & GWB,24,9,1,2,1,2
ms16CelluloselMFB,Metal Stud,16 OC w/ Cellulose & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & GWB,27,14,7,4,2,2
msIndustryBest,Metal Stud,Industry Best,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best,20,7,1,2,1,2
ms16MinWoolMDF,Metal Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Min Wool & MDF,23,17,6,6,6,5
msReimagined,Metal Stud,Reimagined,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined,17,18,11,7,6,2
ws24MinWoolMFB,Wood Stud,24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Min Wool & GWB,22,9,1,2,1,1
ws16MinWoolMFB,Wood Stud,16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Min Wool & GWB,21,10,1,2,1,1
ws16MinWoolEcosmart,Wood Stud,16 OC w/ Mineral Wool & Low Carbon GWB,./img/Partitions/Axons/WoodStuds_Axon_WS03_16_MinWool_Ecosmart.png,WS - 16 OC w/ Min Wool & Low CO2 GWB,17,7,1,2,1,1
ws16GlassWoolMFB,Wood Stud,16 OC w/ Glass Wool & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS04_16_GlassWool_MFB.png,WS - 16 OC w/ Glass Wool & GWB,16,8,1,2,1,0
ws16MFB,Wood Stud,16 OC & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS05_16_NoIns_MFB.png,WS - 16 OC & GWB,15,8,1,2,1,0
ws16CelluloseMFB,Wood Stud,16 OC w/ Cellulose & GWB,./img/Partitions/Axons/WoodStuds_Axon_WS06_16_Cellulose_MFB.png,WS - 16 OC w/ Cellulose & GWB,18,12,7,4,2,0
wsIndustryBest,Wood Stud,Industry Best,./img/Partitions/Axons/WoodStuds_Axon_WS07_BEST_16_GlassWool_Ecosmart.png,WS - Industry Best,13,6,1,2,1,0
ws16MinWoolMDF,Wood Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/WoodStuds_Axon_WS09_16_MinWool_MDF.png,WS - 16 OC w/ Min Wool & MDF,14,15,6,6,5,2
wsReimagined,Wood Stud,Reimagined,./img/Partitions/Axons/WoodStuds_Axon_WS10_Reimagined_16_Cellulose_MDF.png,WS - Reimagined,13,20,13,8,7,1
