material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25
mBaffle,Metal,Baffle,./img/Ceilings/Axons/Axon_MetalBaffle.png,M - Baffle (Metal),0.005054451,0,0,0,1.480835013,0,0,0,0,10.01781012,0,0,0,0,0,0,0,0,0,0,0,0.818605131,0,0,0
mPan,Metal,Panel,./img/Ceilings/Axons/Axon_MetalPan.png,M -  Metal Pan,0.012161086,0.67225773,0,0.002384902,0,0,0,0,0,0,6.191784591,0,0,0,0,0,0,0,0,0,0,0,0,0.778557204,0
mPerforatedPan,Metal,Perforated Panel,./img/Ceilings/Axons/Axon_MetalPanPerforated.png,M - Perf Metal Pan,0.012161086,0.67225773,0,0.002384902,0,0,0,5.13574386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778557204,0
hcGypsum,Hard Ceiling,Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Gyp,0.012161086,0,3.161974391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701765082,0,0.412977355,0,0,0,0
hcMoistureResistantGyp,Hard Ceiling,Moisture Resistant Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Moisture Resistant Gyp,0.012161086,0,3.161974391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602959308,0,0,0.412977355,0,0,0,0
cFiberglassTrim,Cloud,Fiberglass (w/ Trim),./img/Ceilings/Axons/Axon_CloudwTrim.png,C - Fiberglass (w/ Trim),0.048644345,0.378144973,0,0,0,1.606708972,0,0,2.677486827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cFiberglass,Cloud,Fiberglass,./img/Ceilings/Axons/Axon_Cloud.png,C - Fiberglass,0.048644345,0.378144973,0,0,0,2.249838869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltFiberglass,Lay-In Tile,Fiberglass,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Fiberglass,0.012161086,0.67225773,0,0,0,1.606708972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltMineralBoard,Lay-In Tile,Mineral Board,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Mineral Board,0.012161086,0.67225773,0,0,0,0,1.364405934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocAcousticalSpray,Open Ceiling,Acoustical Spray,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Acoustical Spray,0,0,0,0,0,0,0,0,0,0,0,0.120894608,0,0,0,0,0,0,0,0,0,0,0,0,0
ocPaint,Open Ceiling,Paint,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Paint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412977355,0,0,0,0
wVeneerDense,Wood,Dense Grille (Veneer),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Veneer),0.010108903,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.00311607,0.889008967,2.016943052,0.006889439,0,0,0,0,0,0,0.036087104,0,0.008201619
wVeneerOpen,Wood,Grille (Veneer),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Veneer),0.010108903,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.003661993,0.967266798,1.512707289,0.005167079,0,0,0,0,0,0,0.027065328,0,0.009924176
wPoplarDense,Wood,Dense Grille (Poplar),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Poplar),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.064478685,0,0,0,0,0,0,0,0,0,0,0,0.018903017
wPoplarOpen,Wood,Grille (Poplar),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Poplar),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.070138159,0,0,0,0,0,0,0,0,0,0,0,0.017950225
wWalnutDense,Wood,Dense Grille (Walnut),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Walnut),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.00311607,0,0,0,0,0,0,0.213168718,0,0,0.024206249,0,0.008201619
wWalnutOpen,Wood,Grille (Walnut),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Walnut),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.003661993,0,0,0,0,0,0,0.230932777,0,0,0.018154686,0,0.009924176
wMapleDense,Wood,Dense Grille (Maple),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Maple),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.00311607,0,0,0,-0.221119977,0,0,0,0,0,0.072618746,0,0.008201619
wMapleOpen,Wood,Grille (Maple),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Maple),0.012161086,0,0,0,1.480835013,0,0,0,0,0,0,0,-0.003661993,0,0,0,-0.239546641,0,0,0,0,0,0.018154686,0,0.009924176
