material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39
wpAluminumPanelA,Wall Protection,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized),0.03,0,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wpAluminumPanelPC,Wall Protection,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated),0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0
wpStainlessSteelSheet,Wall Protection,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wpPVCFreeRigidSheet,Wall Protection,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wpVinylRigidSheet,Wall Protection,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sSolidSurface,Stone / Ceramic,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface,0,0,0.27,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sSinteredStone,Stone / Ceramic,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sPorcelainTile,Stone / Ceramic,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile,0,0,0,0.19,0,0,0,0,0,0,0,0.48,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mMetalVeneerPanel,Misc.,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.24,0,0,0,0,0.02,2.69,0,0,0,0,0,0,0.42,0
mTextile,Misc.,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mPaint,Misc.,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mWallpaperNW,Misc.,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mWallpaperPaper,Misc.,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper),0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mPlasticLaminate,Misc.,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0.02,0,0.08,0,0,0,0.08,0,0,0
saCemWdPanel,Sound-Absorbing,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
