material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,53.99883207,17.99961069,10.99976209,6.999848601,5.99987023,3.999913487
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,35.16535218,11.72178406,7.163312482,4.55847158,3.907261354,2.604840903
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,28.13293747,9.377645825,5.73078356,3.646862265,3.125881942,2.083921294
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,16.70982961,5.569943204,3.40385418,2.166089024,1.856647735,1.237765156
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,27.4132497,9.137749898,5.584180493,3.553569405,3.045916633,2.030611089
MEIFS,Misc,EIFS (XPS),./img/mefis.png,17.92499782,5.974999275,3.651388446,2.323610829,1.991666425,1.327777617
MPrecast,Misc,Precast Concrete,./img/mprecast.png,23.28363423,7.761211408,4.742962527,3.018248881,2.587070469,1.724713646
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,11.00811977,3.669373258,2.242394769,1.426978489,1.223124419,0.81541628
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,39.36597916,13.12199305,8.018995755,5.102997299,4.373997685,2.915998456
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,39.0402175,13.01340583,7.952636898,5.060768935,4.337801944,2.891867963
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,32.41024273,10.80341424,6.602086481,4.201327761,3.601138081,2.40075872
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,20.89943558,6.966478526,4.257292433,2.709186093,2.322159509,1.548106339
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,41.913881,13.97129367,8.538012796,5.43328087,4.657097889,3.104731926
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,34.32359356,11.44119785,6.991843132,4.449354721,3.813732618,2.542488412
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,24.21837767,8.072792556,4.933373229,3.139419327,2.690930852,1.793953901
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,25.5033652,8.501121733,5.195129948,3.305991785,2.833707244,1.889138163
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,21.68577606,7.228592021,4.417472902,2.811119119,2.409530674,1.606353782
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,21.05668713,7.018895708,4.289325155,2.729570553,2.339631903,1.559754602
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,20.1463102,6.715436732,4.103878003,2.611558729,2.238478911,1.492319274
RGranite,Rainscreen,Granite,./img/rgranite.png,19.12709248,6.375697494,3.89625958,2.479437914,2.125232498,1.416821665
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,19.19606331,6.39868777,3.910309193,2.488378577,2.132895923,1.421930616
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,18.15463589,6.051545296,3.69816657,2.353378726,2.017181765,1.344787844
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,14.65714639,4.885715464,2.985715006,1.900000458,1.628571821,1.085714548
RWood,Rainscreen,Wood,./img/rwood.png,14.10585564,4.701951882,2.873415039,1.828536843,1.567317294,1.044878196
