material,type,name,img,i1,i2,i3,i4,i5,i6
Granite,Masonry Veneer,Granite,./img/granite.png,48,16,10,6,5,4
Limestone,Masonry Veneer,Limestone,./img/limestone.png,32,11,7,4,4,2
Brick,Masonry Veneer,Brick,./img/brick.png,26,9,5,3,3,2
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,37,12,8,5,4,3
Spandrel,Curtain Wall, Spandrel,./img/spandrel.png,54,18,11,7,6,4
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,38,13,8,5,4,3
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,32,11,7,4,4,2
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,24,8,5,3,3,2
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,41,14,8,5,5,3
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,34,11,7,4,4,3
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,21,7,4,3,2,2
Granite1,Rainscreen,Granite,./img/granite1.png,19,6,4,2,2,1
Limestone1,Rainscreen,Limestone,./img/limestone1.png,18,6,4,2,2,1
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,23,8,5,3,3,2
Wood,Rainscreen,Wood,./img/wood1.png,26,9,5,3,3,2
