material,type,name,img,i1,i2,i3,i4,i5,i6
Granite,Masonry Veneer,Granite,./img/granite.png,41,14,8,5,5,3
Limestone,Masonry Veneer,Limestone,./img/limestone.png,27,9,6,4,3,2
Brick,Masonry Veneer,Brick,./img/brick.png,22,7,5,3,2,2
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,31,10,6,4,3,2
Spandrel,Curtain Wall, Spandrel,./img/spandrel.png,54,18,11,7,6,4
UHPC,Rainscreen,Ultra-High Performance Concrete (fibreC),./img/uhpc.png,33,11,7,4,4,2
GFRC,Rainscreen,Glass Fiber Reinfrced Concrete (GFRC),./img/gfrc.png,32,11,7,4,4,2
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,27,9,6,4,3,2
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,20,7,4,3,2,1
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,35,12,7,4,4,3
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,29,10,6,4,3,2
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,18,6,4,2,2,1
Granite1,Rainscreen,Granite,./img/granite1.png,16,5,3,2,2,1
Limestone1,Rainscreen,Limestone,./img/limestone1.png,15,5,3,2,2,1
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,20,7,4,3,2,1
Wood,Rainscreen,Wood,./img/wood1.png,19,6,4,3,2,1
