material,type,value,name,img,,label
mBaffle,Metal,4.527,Metal Baffle,./img/Axon_Stone.png,,M - Baffle (Metal)
mPan,Metal,2.772,Metal Pan,./img/Axon_Stone.png,,M -  Metal Pan
mPerforatedPan,Metal,2.418,Perforated Metal Pan,./img/Axon_Stone.png,,M - Perf Metal Pan
hcGypsum,Hard Ceiling,1.367,Gypsum,./img/Axon_Stone.png,,HC - Gyp
hcMoistureResistantGyp,Hard Ceiling,1.313,Moisture Resistant Gypsum,./img/Axon_Stone.png,,HC - Moisture Resistant Gyp
cFiberglassTrim,Cloud,1.869,Fiberglass (w/ Trim),./img/Axon_Stone.png,,C - Fiberglass (w/ Trim)
cFiberglass,Cloud,1.035,Fiberglass,./img/Axon_Stone.png,,C - Fiberglass
ltFiberglass,Lay-In Tile,1.134,Fiberglass,./img/Axon_Stone.png,,LT - Fiberglass
ltMineralBoard,Lay-In Tile,0.93,Mineral Board,./img/Axon_Stone.png,,LT - Mineral Board
ocAcousticalSpray,Open Ceiling,0.121,Acoustical Spray,./img/Axon_Stone.png,,OC - Acoustical Spray
ocPaint,Open Ceiling,0.044,Paint,./img/Axon_Stone.png,,OC - Paint
wVeneerDense,Wood,2.89,Dense Grille (Veneer),./img/Axon_Stone.png,,W - Dense Grille (Veneer)
wVeneerOpen,Wood,2.743,Open Grille (Veneer),./img/Axon_Stone.png,,W - Open Grille (Veneer)
wPoplarDense,Wood,1.18,Dense Grille (Poplar),./img/Axon_Stone.png,,W - Dense Grille (Poplar)
wPoplarOpen,Wood,1.225,Open Grille (Poplar),./img/Axon_Stone.png,,W - Open Grille (Poplar)
wWalnutDense,Wood,1.517,Dense Grille (Walnut),./img/Axon_Stone.png,,W - Dense Grille (Walnut)
wWalnutOpen,Wood,1.588,Open Grille (Walnut),./img/Axon_Stone.png,,W - Open Grille (Walnut)
wMapleDense,Wood,1.41,Dense Grille (Maple),./img/Axon_Stone.png,,W - Dense Grille (Maple)
wMapleOpen,Wood,1.472,Open Grille (Maple),./img/Axon_Stone.png,,W - Open Grille (Maple)
