material,type,value,name,img,label
mBaffle,Metal,12.37,Baffle,./img/Ceilings/Axons/Axon_MetalBaffle.png,M - Baffle (Metal)
mPan,Metal,7.57,Pan,./img/Ceilings/Axons/Axon_MetalPan.png,M -  Metal Pan
mPerforatedPan,Metal,6.63,Perforated Pan,./img/Ceilings/Axons/Axon_MetalPanPerforated.png,M - Perf Metal Pan
hcGypsum,Hard Ceiling,4.3,Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Gyp
hcMoistureResistantGyp,Hard Ceiling,4.18,Moisture Resistant Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Moisture Resistant Gyp
cFiberglassTrim,Cloud,4.9,Fiberglass (w/ Trim),./img/Ceilings/Axons/Axon_CloudwTrim.png,C - Fiberglass (w/ Trim)
cFiberglass,Cloud,2.91,Fiberglass,./img/Ceilings/Axons/Axon_Cloud.png,C - Fiberglass
ltFiberglass,Lay-In Tile,2.47,Fiberglass,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Fiberglass
ltMineralBoard,Lay-In Tile,2.08,Mineral Board,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Mineral Board
ocAcousticalSpray,Open Ceiling,0.13,Acoustical Spray,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Acoustical Spray
ocPaint,Open Ceiling,0.4,Paint,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Paint
wVeneerDense,Wood,8.28,Dense Grille (Veneer),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Veneer)
wVeneerOpen,Wood,8.18,Open Grille (Veneer),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Open Grille (Veneer)
wPoplarDense,Wood,4.02,Dense Grille (Poplar),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Poplar)
wPoplarOpen,Wood,4.24,Open Grille (Poplar),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Open Grille (Poplar)
wWalnutDense,Wood,5.19,Dense Grille (Walnut),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Walnut)
wWalnutOpen,Wood,5.5,Open Grille (Walnut),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Open Grille (Walnut)
wMapleDense,Wood,5.32,Dense Grille (Maple),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Maple)
wMapleOpen,Wood,5.59,Open Grille (Maple),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Open Grille (Maple)
