material,type,value,name,img,label
mBaffle,Metal,2.88,Metal Baffle,./img/Axon_Stone.png,M - Baffle (Metal)
mPan,Metal,3.53,Metal Pan,./img/Axon_Stone.png,M -  Metal Pan
mPerforatedPan,Metal,3.05,Perforated Metal Pan,./img/Axon_Stone.png,M - Perf Metal Pan
hcGypsum,Hard Ceiling,2.01,Gypsum,./img/Axon_Stone.png,HC - Gyp
hcMoistureResistantGyp,Hard Ceiling,1.9,Moisture Resistant Gypsum,./img/Axon_Stone.png,HC - Moisture Resistant Gyp
cFiberglassTrim,Cloud,2.62,Fiberglass (w/ Trim),./img/Axon_Stone.png,C - Fiberglass (w/ Trim)
cFiberglass,Cloud,1.98,Fiberglass,./img/Axon_Stone.png,C - Fiberglass
ltFiberglass,Lay-In Tile,2.12,Fiberglass,./img/Axon_Stone.png,LT - Fiberglass
ltMineralBoard,Lay-In Tile,1.73,Mineral Board,./img/Axon_Stone.png,LT - Mineral Board
ocAcousticalSpray,Open Ceiling,0.13,Acoustical Spray,./img/Axon_Stone.png,OC - Acoustical Spray
ocPaint,Open Ceiling,0.4,Paint,./img/Axon_Stone.png,OC - Paint
wVeneerDense,Wood,6.7,Dense Grille (Veneer),./img/Axon_Stone.png,W - Dense Grille (Veneer)
wVeneerOpen,Wood,6.5,Open Grille (Veneer),./img/Axon_Stone.png,W - Open Grille (Veneer)
wPoplarDense,Wood,2.88,Dense Grille (Poplar),./img/Axon_Stone.png,W - Dense Grille (Poplar)
wPoplarOpen,Wood,3.03,Open Grille (Poplar),./img/Axon_Stone.png,W - Open Grille (Poplar)
wWalnutDense,Wood,3.8,Dense Grille (Walnut),./img/Axon_Stone.png,W - Dense Grille (Walnut)
wWalnutOpen,Wood,4.03,Open Grille (Walnut),./img/Axon_Stone.png,W - Open Grille (Walnut)
wMapleDense,Wood,3.78,Dense Grille (Maple),./img/Axon_Stone.png,W - Dense Grille (Maple)
wMapleOpen,Wood,3.96,Open Grille (Maple),./img/Axon_Stone.png,W - Open Grille (Maple)
