material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25
mBaffle,Metal,Metal Baffle,./img/Axon_Stone.png,M - Baffle (Metal),0.003374664,0,0,0,0.632179634,0,0,0,0,3.45848281,0,0,0,0,0,0,0,0,0,0,0,0.407095921,0,0,0
mPan,Metal,Metal Pan,./img/Axon_Stone.png,M -  Metal Pan,0.004059746,0.250090944,0,0.000828199,0,0,0,0,0,0,2.17160794,0,0,0,0,0,0,0,0,0,0,0,0,0.387684386,0
mPerforatedPan,Metal,Perforated Metal Pan,./img/Axon_Stone.png,M - Perf Metal Pan,0.004059746,0.250090944,0,0.000828199,0,0,0,1.761640583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387684386,0
hcGypsum,Hard Ceiling,Gypsum,./img/Axon_Stone.png,HC - Gyp,0.004059746,0,1.011629431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298968322,0,0.04508805,0,0,0,0
hcMoistureResistantGyp,Hard Ceiling,Moisture Resistant Gypsum,./img/Axon_Stone.png,HC - Moisture Resistant Gyp,0.004059746,0,1.011629431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252420717,0,0,0.04508805,0,0,0,0
cFiberglassTrim,Cloud,Fiberglass (w/ Trim),./img/Axon_Stone.png,C - Fiberglass (w/ Trim),0.016238983,0.140676156,0,0,0,0.792354394,0,0,0.825486932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cFiberglass,Cloud,Fiberglass,./img/Axon_Stone.png,C - Fiberglass,0.016238983,0.140676156,0,0,0,0.792354394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltFiberglass,Lay-In Tile,Fiberglass,./img/Axon_Stone.png,LT - Fiberglass,0.004059746,0.250090944,0,0,0,0.792354394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ltMineralBoard,Lay-In Tile,Mineral Board,./img/Axon_Stone.png,LT - Mineral Board,0.004059746,0.250090944,0,0,0,0,0.66066061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocAcousticalSpray,Open Ceiling,Acoustical Spray,./img/Axon_Stone.png,OC - Acoustical Spray,0,0,0,0,0,0,0,0,0,0,0,0.120894608,0,0,0,0,0,0,0,0,0,0,0,0,0
ocPaint,Open Ceiling,Paint,./img/Axon_Stone.png,OC - Paint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04508805,0,0,0,0
wVeneerDense,Wood,Dense Grille (Veneer),./img/Axon_Stone.png,W - Dense Grille (Veneer),0.003374664,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.060483341,-1.489717054,1.000555886,-0.01690453,0,0,0,0,0,0,0.017955102,0,0.00404513
wVeneerOpen,Wood,Open Grille (Veneer),./img/Axon_Stone.png,W - Open Grille (Veneer),0.003374664,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.071079774,-1.620854119,0.750416914,-0.012678398,0,0,0,0,0,0,0.013466326,0,0.004894714
wPoplarDense,Wood,Dense Grille (Poplar),./img/Axon_Stone.png,W - Dense Grille (Poplar),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-1.25153991,0,0,0,0,0,0,0,0,0,0,0,0.009323179
wPoplarOpen,Wood,Open Grille (Poplar),./img/Axon_Stone.png,W - Open Grille (Poplar),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-1.361391057,0,0,0,0,0,0,0,0,0,0,0,0.008853251
wWalnutDense,Wood,Dense Grille (Walnut),./img/Axon_Stone.png,W - Dense Grille (Walnut),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.060483341,0,0,0,0,0,0,-1.467287655,0,0,0.012043794,0,0.00404513
wWalnutOpen,Wood,Open Grille (Walnut),./img/Axon_Stone.png,W - Open Grille (Walnut),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.071079774,0,0,0,0,0,0,-1.589561626,0,0,0.009032846,0,0.004894714
wMapleDense,Wood,Dense Grille (Maple),./img/Axon_Stone.png,W - Dense Grille (Maple),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.060483341,0,0,0,-1.932530053,0,0,0,0,0,0.012043794,0,0.00404513
wMapleOpen,Wood,Open Grille (Maple),./img/Axon_Stone.png,W - Open Grille (Maple),0.004059746,0,0,0,0.632179634,0,0,0,0,0,0,0,-0.071079774,0,0,0,-2.093574225,0,0,0,0,0,0.009032846,0,0.004894714
