material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,53.64252437,17.88084146,10.92718089,6.953660566,5.960280485,3.973520323
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,36.3917741,12.13059137,7.413139169,4.717452199,4.043530456,2.695686971
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,29.54051044,9.846836814,6.017511386,3.829325427,3.282278938,2.188185959
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,18.80265317,6.267551058,3.830170091,2.437380967,2.089183686,1.392789124
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,48.24245761,16.0808192,9.827167291,6.253651913,5.360273068,3.573515379
MEIFS,Misc,EIFS (XPS),./img/mefis.png,30.78517912,10.26172637,6.271055006,3.990671367,3.420575458,2.280383639
MPrecast,Misc,Precast Concrete,./img/mprecast.png,25.84195303,8.613984342,5.264101542,3.3498828,2.871328114,1.914218743
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,16.82099065,5.606996883,3.426498095,2.180498788,1.868998961,1.245999307
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,51.5448128,17.18160427,10.49986928,6.681734993,5.727201423,3.818134282
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,53.99621996,17.99873999,10.99922999,6.999509995,5.999579996,3.999719997
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,47.74827654,15.91609218,9.726500776,6.189591403,5.30536406,3.536909373
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,38.67067361,12.89022454,7.877359439,5.012865097,4.296741512,2.864494341
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,41.81644556,13.93881519,8.518164837,5.420650351,4.646271729,3.097514486
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,34.50111433,11.50037144,7.028004771,4.472366672,3.833457148,2.555638099
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,25.25826985,8.419423282,5.145203117,3.274220165,2.806474427,1.870982952
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,43.9600706,14.65335687,8.954829196,5.69852767,4.884452289,3.256301526
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,37.27987217,12.42662406,7.594048035,4.832576022,4.142208019,2.761472013
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,22.14143569,7.380478562,4.510292455,2.870186107,2.460159521,1.640106347
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,21.55446221,7.184820738,4.390723784,2.794096954,2.394940246,1.596626831
RGranite,Rainscreen,Granite,./img/rgranite.png,20.45971233,6.819904111,4.167719179,2.652184932,2.27330137,1.515534247
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,20.61364654,6.871215512,4.199076146,2.672139366,2.290405171,1.52693678
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,19.57571241,6.525237471,3.987645121,2.53759235,2.175079157,1.450052771
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,24.10496873,8.034989576,4.910271407,3.124718168,2.678329859,1.785553239
RWood,Rainscreen,Wood,./img/rwood.png,25.1677491,8.389249699,5.126763705,3.262485994,2.796416566,1.864277711
