material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,53.99700214,17.99900071,10.99938933,6.999611389,5.999666905,3.999777937
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,35.96235017,11.98745006,7.325663923,4.661786133,3.995816685,2.66387779
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,28.78473764,9.594912548,5.863557668,3.73135488,3.198304183,2.132202788
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,17.93603114,5.978677046,3.653635973,2.325041073,1.992892349,1.328594899
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,42.28338128,14.09446043,8.613281372,5.481179055,4.698153476,3.132102317
MEIFS,Misc,EIFS (XPS),./img/mefis.png,30.47410686,10.15803562,6.207688435,3.950347186,3.386011874,2.257341249
MPrecast,Misc,Precast Concrete,./img/mprecast.png,24.82398278,8.274660926,5.056737233,3.217923694,2.758220309,1.838813539
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,15.87879773,5.292932576,3.234569907,2.058362668,1.764310859,1.176207239
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,43.15216725,14.38405575,8.790256292,5.593799459,4.79468525,3.196456834
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,45.37450528,15.12483509,9.242954778,5.881880313,5.041611697,3.361074465
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,41.35035392,13.78345131,8.423220243,5.360231063,4.594483769,3.062989179
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,37.86316368,12.62105456,7.712866676,4.908187885,4.207018187,2.804678791
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,38.62936107,12.87645369,7.868943922,5.007509769,4.29215123,2.861434153
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,28.27642076,9.425473588,5.760011637,3.665461951,3.141824529,2.094549686
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,20.19515958,6.731719862,4.113828804,2.617891057,2.243906621,1.495937747
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,35.22166908,11.74055636,7.174784441,4.565771917,3.913518786,2.609012524
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,28.0914022,9.363800733,5.72232267,3.641478063,3.121266911,2.080844607
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,15.37140115,5.123800383,3.131211345,1.992589038,1.707933461,1.138622307
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,20.34496563,6.78165521,4.14434485,2.637310359,2.260551737,1.507034491
RGranite,Rainscreen,Granite,./img/rgranite.png,16.84464395,5.614881318,3.431316361,2.183564957,1.871627106,1.247751404
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,18.00105586,6.000351953,3.666881749,2.333470204,2.000117318,1.333411545
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,15.92072152,5.306907175,3.24310994,2.063797235,1.768969058,1.179312705
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,20.65141889,6.883806296,4.206770514,2.677035782,2.294602099,1.529734732
RWood,Rainscreen,Wood,./img/rwood.png,21.0658378,7.021945933,4.291189181,2.730756752,2.340648644,1.56043243
