material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,53.99702036,17.99900679,10.99939304,6.99961375,5.999668929,3.999779286
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,35.94697647,11.98232549,7.322532245,4.659793247,3.994108497,2.662738998
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,28.76585003,9.588616676,5.859710191,3.728906485,3.196205559,2.130803706
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,17.69849389,5.899497964,3.605248756,2.294249208,1.966499321,1.310999548
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,42.13730479,14.04576826,8.58352505,5.462243214,4.681922755,3.121281836
MEIFS,Misc,EIFS (XPS),./img/mefis.png,30.4887176,10.16290587,6.210664695,3.95224117,3.387635288,2.258423526
MPrecast,Misc,Precast Concrete,./img/mprecast.png,24.78873851,8.262912836,5.049557845,3.213354992,2.754304279,1.836202853
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,15.85389117,5.284630392,3.22949635,2.055134041,1.761543464,1.174362309
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,43.14147606,14.38049202,8.788078456,5.592413563,4.793497339,3.195664893
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,45.21466891,15.0715563,9.210395519,5.861160785,5.023852101,3.349234734
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,41.34642307,13.78214102,8.422419515,5.35972151,4.594047008,3.062698006
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,37.15857239,12.3861908,7.56933882,4.816851976,4.128730266,2.752486844
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,38.45158193,12.81719398,7.832729653,4.984464324,4.272397992,2.848265328
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,28.00687147,9.335623822,5.705103447,3.630520375,3.111874607,2.074583072
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,20.1581742,6.719391399,4.106294744,2.613096655,2.239797133,1.493198089
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,34.8152933,11.60509777,7.09200419,4.513093576,3.868365922,2.578910615
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,27.66689058,9.222296859,5.635848081,3.586448779,3.074098953,2.049399302
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,15.31648898,5.105496327,3.120025533,1.985470794,1.701832109,1.134554739
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,20.29585289,6.765284296,4.134340403,2.630943893,2.255094765,1.50339651
RGranite,Rainscreen,Granite,./img/rgranite.png,16.80876334,5.602921112,3.424007346,2.178913766,1.867640371,1.24509358
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,17.98158494,5.993861648,3.662915451,2.330946196,1.997953883,1.331969255
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,15.88404205,5.294680682,3.235638195,2.059042488,1.764893561,1.176595707
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,20.61193243,6.870644144,4.198726977,2.671917167,2.290214715,1.52680981
RWood,Rainscreen,Wood,./img/rwood.png,20.08894644,6.696315479,4.092192793,2.604122686,2.23210516,1.488070106
