material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.56007,0,0,0,0,1.23959,0,0,0,0.23886,0,0,14.4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.56007,0,0,0,0,1.23959,0,0,0,0.23886,0,0,0,7.67156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.56007,0,0,0,0,1.23959,0,0,0,0,0.2685,0,0,0,0,0,0,4.45671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.49006,0,0,0,0,0,0,0,0,0.12178,0,0,0,0,1.49164,0,0,0.92208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,0.41298,0.70177,1.46121,0,0,0,0,0,0,0,0,0,0,0,0,0.89203,0,0,0,0,0,0,0,0,0,1.09323,20.9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIFS,Misc,EIFS (XPS),./img/mefis.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,0,0,23.7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0.33205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPrecast,Misc,Precast Concrete,./img/mprecast.png,0.41298,0.70177,1.46121,0,0,0,0,0,1.08332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5262
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,0.98012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0.33205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,0,0,0,0,0,4.13454,0.35253,1.26799,0,0,0.06014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37858,0,0,0.00759,9.52935,0.08678,0.27871,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,0.41298,0.70177,1.46121,0,0,0,0,1.30753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35089,0,0,0,0,0,5.68884,0,0.00759,9.52935,0.08678,0.27871,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,0.41298,0.70177,1.46121,0,0,0,0,1.26799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37858,0,0,0.00759,9.52935,0.08678,0.27871,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,0.41298,0.70177,1.46121,0,0,0,0,0.76079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4068,0.00759,9.52935,0.08678,0.27871,0,0,0,0,0,0,0,0,0,0.04579,0,0
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.63007,0,0,0,0.006,0,9.89613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79167,0,0,0,0,0,0,0,0,0,0
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.70008,0,0,0,0.006,0,0,1.01628,0,0,0,0,0,0,0,0,0,0,0.54661,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71137,0,0,0,0,0,0,0,0,0
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.70008,0,0,0,0.009,0,0,3.38761,0.07424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53924,0,0,0,0,0,0,0,0
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,1.26015,0,0,0,0.007,0,0,6.77522,0.14848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81028,0,0,0,0,0,0,0
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,1.26015,0,0,0,0.007,0,0,6.77522,0.22271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1889,0,0,0,0,0,0
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.49006,0,0,0,0.009,0,0.40749,0,0.07424,0,0,0,0,0,0,0,0,0,0.54661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58217,0,0,0,0,0
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,0.42158,0.71639,1.49165,0.60992,0.2305128,0,0,0.6432,0,0,0,0.004,0,1.31924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05911,0,0,0,0,0,0,0,0,0,0,0
RGranite,Rainscreen,Granite,./img/rgranite.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.70008,0,0,0,0.006,0,0,1.35504,0.19797,0,0,0.82972,0.83448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.49006,0,0,0,0.009,0,0.40749,0,0,0.12178,0,0,0,0,0,1.55856,0.22046,0.92208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,0.41298,0.70177,1.46121,0.59748,0.2258085,0,0,0.70008,0,0,0,0.006,0,0,1.35504,0.19797,0,0,0.82972,0,0.48387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,0.98012,0,0,0,0.018,0,0.81498,0,0.14848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28985,2.12613,0,0,0
RWood,Rainscreen,Wood,./img/rwood.png,0.41298,0.70177,1.46121,0.59748,0.451617,0,0,0.98012,0,0,0,0.018,0,0.81498,1.62605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07705,-0.2735,0
