material,type,value,name,img
sGranite,Stone / Ceramic,4.84,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,4.41,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.2,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,3.03,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,2.8,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,1.96,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,2,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,2.53,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,2.66,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,9.42,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,7.61,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,4.98,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,1.69,Engineered,./img/Axon_Wood.png
wBamboo,Wood,5.07,Bamboo,./img/Axon_Wood.png
wCork,Wood,1.95,Cork,./img/Axon_Wood.png
wSoftwood,Wood,2.76,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,4.81,Hardwood Plank,./img/Axon_Wood.png
