material,type,value,name,img
sGranite,Stone / Ceramic,4.83,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,4.67,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.2,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,3.04,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,2.77,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,0.74,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,1.98,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,2.5,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,2.64,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,8.38,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,6.7,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,4.29,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,0.04,Engineered,./img/Axon_Wood.png
wBamboo,Wood,1.11,Bamboo,./img/Axon_Wood.png
wCork,Wood,-0.7,Cork,./img/Axon_Wood.png
wSoftwood,Wood,-0.94,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,0.04,Hardwood Plank,./img/Axon_Wood.png
