material,type,impact1,impact2,impact3,name,img
sGranite,Stone / Ceramic,2.709239196,0.085719829,0,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,2.48506416,0.088500331,0,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,0.986044043,0.130798685,0,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,1.631837524,0.049231145,0,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,1.175683597,0.04249,0,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,1.035845941,0.116402848,0,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,1.652468519,0.109456702,0,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,1.4572,0.0347,0,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,0.7562,0.0883,0,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,1.822079551,0.051346659,0,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,1.538102829,0.048668109,0,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,1.126384426,0.044528532,0,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,0.451837104,0.021410542,0,Engineered,./img/Axon_Wood.png
wBamboo,Wood,0.964270735,0.086330051,0,Bamboo,./img/Axon_Wood.png
wCork,Wood,0.388241839,0.080357445,0,Cork,./img/Axon_Wood.png
wSoftwood,Wood,0.507967925,0.040425243,0,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,1.209252754,0.052771218,0,Hardwood Plank,./img/Axon_Wood.png
