material,type,name,img,i1,i2,i3,i4,i5,i6
sGranite,Stone / Ceramic,Granite,./img/granite.png,54.00,18.00,11.00,7.00,6.00,4.00
sSlate,Stone / Ceramic,Slate,./img/limestone.png,51.00,17.00,10.00,7.00,6.00,4.00
sCeramic,Stone / Ceramic,Ceramic Tile,./img/brick.png,14.00,5.00,3.00,2.00,2.00,1.00
rRubber,Resilient,Rubber Tile,./img/insmetalpanel.png,40.00,13.00,8.00,5.00,4.00,3.00
rVinyl,Resilient,Solid Vinyl Tile,./img/spandrel.png,26.00,9.00,5.00,3.00,3.00,2.00
rLinoTile,Resilient,Linoleum Tile,./img/gfrc.png,18.00,6.00,4.00,2.00,2.00,1.00
mConcrete,Miscellaneous,Concrete,./img/acm.png,33.00,11.00,7.00,4.00,4.00,2.00
mTerrazzo,Miscellaneous,Terrazzo,./img/terracotta.png,34.00,11.00,7.00,4.00,4.00,2.00
mSealedC,Miscellaneous,Sealed Concrete,./img/phenresin.png,19.00,6.00,4.00,2.00,2.00,1.00
mEpoxy,Miscellaneous,Epoxy,./img/fibercement.png,19.00,6.00,4.00,2.00,2.00,1.00
cHigh,Carpet,High Pile,./img/zinc.png,38.00,13.00,8.00,5.00,4.00,3.00
cMedium,Carpet,Medium Pile,./img/granite1.png,32.00,11.00,6.00,4.00,4.00,2.00
cLow,Carpet,Low Pile,./img/limestone1.png,23.00,8.00,5.00,3.00,3.00,2.00
wEngineered,Wood,Engineered,./img/steel1.png,7.00,2.00,1.00,1.00,1.00,1.00
wBamboo,Wood,Bamboo,./img/wood1.png,16.00,5.00,3.00,2.00,2.00,1.00
wCork,Wood,Cork,./img/limestone1.png,5.00,2.00,1.00,1.00,1.00,0.00
wSoftwood,Wood,Softwood Plank,./img/steel1.png,4.00,1.00,1.00,0.00,0.00,0.00
wHardwood,Wood,Hardwood Plank,./img/wood1.png,15.00,5.00,3.00,2.00,2.00,1.00
