material,type,value,name,img
sGranite,Stone / Ceramic,4.82,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,4.66,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.2,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,3.04,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,2.77,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,0.74,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,1.97,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,2.53,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,2.66,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,9.37,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,7.56,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,4.94,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,-0.05,Engineered,./img/Axon_Wood.png
wBamboo,Wood,0.84,Bamboo,./img/Axon_Wood.png
wCork,Wood,-0.88,Cork,./img/Axon_Wood.png
wSoftwood,Wood,-1.24,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,-0.35,Hardwood Plank,./img/Axon_Wood.png
