material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014751,0,0,1.07269231,0,0,0,0,0,0,0,0,0,0,1.881771,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014751,0,0,1.07269231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665313,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014751,0.670399,0,0,0,0,0,0,0.514054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.000655,0,0,0,0,0,0,0,0,0,0,0,1.164387,0,0,0,0,0,0.021546122
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.000655,0,0,0,0,0,0,0,0,0,0.698268,0,0,0,0,0,0,0,0.021546122
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.000655,0,0,0,0,0,0,0,0,0,0,0.631178,0,0,0,0,0,0,0.021546122
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,2.00709998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4854,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0.501775,0,0,0.027123,0,0,0,1.283565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0.501775,0,0,0.027123,0,0,0,0,0,1.004114,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0.501775,0,0,0.027123,0,0,0,0,0.599391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.068704,0.369391,0,0,0,0,0.042007,0,0,0,0,0,0,0,0,0,0,0.1904,0,0,0,0,0,0,0,0.017196152,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.068704,0.531923,0,0,0,0,0.042007,0,0,0.800933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017196152,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.068704,0.531923,0,0,0,0,0,0,0.000655,0,0,0,0,0,0.19386,0,0,0,0,0,0,0,0,0,0,0,0.021546122
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.068704,0.531923,0,0,0,0,0.042007,0,0,0,0,0,0,0,0,0.411902,0,0,0,0,0,0,0,0,0,0.017196152,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.068704,0.531923,0,0,0,0,0.042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332121,0,0,0.017196152,0
