material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014751,0,0,1.07269231,0,0,0,0,0,0,0,0,0,0,3.763541,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014751,0,0,1.07269231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330625,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014751,0.670399,0,0,0,0,0,0,0.514054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,2.328774,0,0,0,0,0,0.129369666
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.001965,0,0,0,0,0,0,0,0,0,2.094805,0,0,0,0,0,0,0,0.129369666
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.068704,0,0,0,0.501775,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,1.262356,0,0,0,0,0,0,0.129369666
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,2.00709998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.498,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6366,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0.501775,0,0,0.162736,0,0,0,7.701391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0,0,0,0.162736,0,1,0,0,0,6.024687,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.068704,0,0,0,0.501775,0,0,0.162736,0,0,0,0,3.596345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.068704,0.738781,0,0,0,0,0.084014,0,0,2,0,0,0,0,0,0,0,0.3808,0,0,0,0,0,0,0,0.103176911,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.068704,1.595768,0,0,0,0,0.126022,0,0,2.402798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103176911,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.068704,1.063845,0,0,0,0,0,0,0.00131,3,0,0,0,0,0.38772,0,0,0,0,0,0,0,0,0,0,0,0.129369666
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.068704,1.063845,0,0,0,0,0.084014,0,0,0,0,0,0,0,0,0.823804,0,0,0,0,0,0,0,0,0,0.103176911,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.068704,1.063845,0,0,0,0,0.084014,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.664243,0,0,0.103176911,0
