material,type,value,name,img
MVGranite,Masonry Veneer,18.55,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,11.79,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,8.75,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,5.33,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,13.25,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,13.08,EIFS (XPS),./img/mefis.png
MPrecast,Misc,9.52,Precast Concrete,./img/mprecast.png
MMinWool,Misc,3.2,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,14.29,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,13.26,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,11.58,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,4.7,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,14.68,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,10.5,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,8.17,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,7.99,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,7.6,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,6.65,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,6.56,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,6.44,Granite,./img/rgranite.png
RTBrick,Rainscreen,6.21,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,6.09,Limestone,./img/rlimestone.png
RSteel,Rainscreen,4.66,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,3.01,Wood,./img/rwood.png
