material,type,value,name,img
Granite,Masonry Veneer,20.00,Granite,./img/granite.png
Limestone,Masonry Veneer,13.20,Limestone,./img/limestone.png
Brick,Masonry Veneer,10.01,Brick,./img/brick.png
InsMetPanel,Face Sealed,17.48,Insulated Metal Panel,./img/insmetalpanel.png
Spandrel,Curtain Wall,22.71, Spandrel,./img/spandrel.png
GFRC,Rainscreen,16.21,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png
ACM,Rainscreen,12.03,Aluminum Composite Material (ACM),./img/acm.png
Terracotta,Rainscreen,9.32,Terracotta,./img/terracotta.png
PhenResin,Rainscreen,15.57,Phenolic Resin,./img/phenresin.png
FiberCement,Rainscreen,15.04,Fiber Cement,./img/fibercement.png
Zinc,Rainscreen,7.74,Formed Zinc Panel,./img/zinc.png
Granite1,Rainscreen,7.49,Granite,./img/granite1.png
Limestone1,Rainscreen,7.14,Limestone,./img/limestone1.png
Steel,Rainscreen,8.32,Formed Steel Panel,./img/steel1.png
Wood,Rainscreen,10.72,Wood,./img/wood1.png
