material,type,value,name,img
Granite,Masonry Veneer,19.37,Granite,./img/granite.png
Limestone,Masonry Veneer,12.61,Limestone,./img/limestone.png
Brick,Masonry Veneer,9.57,Brick,./img/brick.png
InsMetPanel,Face Sealed,17.46,Insulated Metal Panel,./img/insmetalpanel.png
Spandrel,Curtain Wall,26.84, Spandrel,./img/spandrel.png
UHPC,Rainscreen,15.92,Ultra-High Performance Concrete (fibreC),./img/uhpc.png
GFRC,Rainscreen,15.74,Glass Fiber Reinfrced Concrete (GFRC),./img/gfrc.png
ACM,Rainscreen,11.87,Aluminum Composite Material (ACM),./img/acm.png
Terracotta,Rainscreen,9.16,Terracotta,./img/terracotta.png
PhenResin,Rainscreen,15.36,Phenolic Resin,./img/phenresin.png
FiberCement,Rainscreen,14.76,Fiber Cement,./img/fibercement.png
Zinc,Rainscreen,7.6,Formed Zinc Panel,./img/zinc.png
Granite1,Rainscreen,7.32,Granite,./img/granite1.png
Limestone1,Rainscreen,6.97,Limestone,./img/limestone1.png
Steel,Rainscreen,8.18,Formed Steel Panel,./img/steel1.png
Wood,Rainscreen,8.67,Wood,./img/wood1.png
