display_order,assembly_variable_name,type,name,name_w_short_type,name_w_long_type,assembly_section_graphic,assembly_color,material_health_color,material_health_text,material_texts,material_notes
1,blSprayClosedHFC,Blown,Spray Foam (Closed Cell HFC),BL - Spray Foam (Closed Cell HFC),Blown - Spray Polyurethane Foam (Closed Cell HFC),,#FCC05E,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent; Potential off-gassing hazard during installation and beyond,"closed cell HFC spray polyurethane (PU) foam, 0.16 inches thick for R-1",Data in square feet per R-1 at 0.16 inches thick; Insulation R-6.2 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
2,blSprayClosedHFO,Blown,Spray Foam (Closed Cell HFO),BL - Spray Foam (Closed Cell HFO),Blown - Spray Polyurethane Foam (Closed Cell HFO),,#F9CB97,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent; Potential off-gassing hazard during installation and beyond,"closed cell HFO spray polyurethane (PU) foam, 0.16 inches thick for R-1",Data in square feet per R-1 at 0.16 inches thick; Insulation R-6.2 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
3,blSprayOpen,Blown,Spray Foam (Open Cell),BL - Spray Foam (Open Cell),Blown - Spray Polyurethane Foam (Open Cell),,#FEE6BF,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent; Potential off-gassing hazard during installation and beyond,"open cell spray polyurethane (PU) foam, 0.28 inches thick for R-1",Data in square feet per R-1 at 0.28 inches thick; Insulation R-3.6 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
4,blCellulose,Blown,Cellulose,BL -  Cellulose,Blown - Cellulose,,#FEF2DF,#febe10,Typically includes flame retardants; Use mineral based instead of halogenated/organophosphate,"blown cellulose, 0.27 inches thick for R-1",Data in square feet per R-1 at 0.27 inches thick; Insulation R-3.7 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
5,bdXPSlegacy,Board,XPS (Legacy HFC),BD - XPS (Legacy HFC),Board - XPS / Extruded Polystyrene (Legacy HFC),,#4B803D,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent,"XPS/extruded polystyrene, legacy HFC blowing agents, 30 psi, 0.20 inches thick for R-1",Data in square feet per R-1 at 0.20 inches thick; Insulation R-5 per inch; Compressive strength 30 psi; Check your jurisdiction to see if the use of HFC-134a blowing agents are banned; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
6,bdXPS60,Board,XPS 60 (Low GWP),BD - XPS 60 (Low GWP),Board - XPS / Extruded Polystyrene 60 (Low GWP),,#5CA040,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent,"XPS/extruded polystyrene with low GWP blowing agents, 60 psi, 0.20 inches thick for R-1 (EPD specific)","Data in square feet per R-1 at 0.20 inches thick; Insulation R-5 per inch; Compressive strength 60 psi; Low GWP blowing agents free of HFC-134a; The rest of any assembly is not included in LCA calculations; Service life set to EPD 75 years; If assembly gets replaced consider B4 impacts; Data from product-specific EPD: Foamular NGX XPS Insulation, Date of issue: January 1, 2021"
7,bdMinWoolHighDens,Board,Mineral Wool (High Density),BD - Mineral Wool (High Density),Board - Mineral Wool (High Density),,#70BF51,#97cd78,Specify formaldehyde-free insulation,"high density mineral wool board, 0.24 inches thick for R-1",Data in square feet per R-1 at 0.24 inches thick; Insulation R-4.2 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
8,bdXPS40,Board,XPS 40 (Low GWP),BD - XPS 40 (Low GWP),Board - XPS / Extruded Polystyrene 40 (Low GWP),,#8EE05F,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent,"XPS/extruded polystyrene with low GWP blowing agents, 40 psi, 0.20 inches thick for R-1 EPD specific)","Data in square feet per R-1 at 0.20 inches thick; Insulation R-5 per inch; Compressive strength 40 psi; Low GWP blowing agents free of HFC-134a; The rest of any assembly is not included in LCA calculations; Service life set to EPD of 75 years; If assembly gets replaced consider B4 impacts; Data from product-specific EPD: Foamular NGX XPS Insulation, Date of issue: January 1, 2021"
9,bdXPS25,Board,XPS 25 (Low GWP),BD - XPS 25 (Low GWP),Board - XPS / Extruded Polystyrene 25 (Low GWP),,#ADE589,#febe10,Includes halogenated flame retardants; Can also contain PFAS as a blowing agent,"XPS/extruded polystyrene with low GWP blowing agents, 25 psi, 0.20 inches thick for R-1 (EPD specific)","Data in square feet per R-1 at 0.20 inches thick; Insulation R-5 per inch; Compressive strength 25 psi; Low GWP blowing agents free of HFC-134a; The rest of any assembly is not included in LCA calculations; Service life set to EPD of 75 years; If assembly gets replaced consider B4 impacts; Data from product-specific EPD: Foamular NGX XPS Insulation, Date of issue: January 1, 2021"
10,bdEPS,Board,EPS,BD  - EPS,Board - EPS / Expanded Polystyrene,,#C2EAA7,#febe10,Includes halogenated flame retardants; Could contain insecticides,"EPS/expanded polystyrene, 0.25 inches thick for R-1",Data in square feet per R-1 at 0.25 inches thick; Insulation R-4 per inch; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts
11,bdPolyiso,Board,Polyiso (GRF Facer),BD - Polyiso (GRF Facer),Board - Polyiso / Polyisocyanurate (GRF Facer),,#DBF2CC,#febe10,"Typically Includes halogenated flame retardants; Specify halogen-free boards ""NH""","polyiso/polyisocyanurate with glass fiber reinforced facer, 0.17 inches thick for R-1","Data in square feet per R-1 at 0.17 inches thick; Insulation R-5.8 per inch; R-value varies slightly with thickness due to facer, but is negligible in LCA scope; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts"
12,btGlassWoolFoil,Batt,Glass Wool (Foil Faced),BT -  Glass Wool (Foil Faced),Batt - Glass Wool (Foil Faced),,#8BD3F7,#97cd78,Specify formaldehyde-free insulation; Faced products may contain flame retardants,"foil faced glass wool, 0.32 inches thick for R-1","Data in square feet per R-1 at 0.32 inches thick; Insulation R-3.14 per inch; R-value varies slightly with thickness due to facer, but is negligible in LCA scope; The rest of any assembly is not included in LCA calculations; Service life set to Tally default of 75 years; If assembly gets replaced consider B4 impacts"
