material,type,impact1,impact2,impact3,impact4,impact5,name,img
Granite,Masonry Veneer,18.21734095,0.353722336,0.717973524,0.643537015,-1.004246324,Granite,./img/granite.png
Limestone,Masonry Veneer,11.47793146,0.331355425,0.717973524,0.606158778,-1.005886813,Limestone,./img/limestone.png
Brick,Masonry Veneer,8.565424763,0.205872886,0.717973524,0.458947099,-1.01234777,Brick,./img/brick.png
InsMetPanel,Face Sealed,8.558419128,0.080215919,7.56616213,0.067531837,-4.8237764,Insulated Metal Panel,./img/insmetalpanel.png
Spandrel,Curtain Wall,15.83975783,0.224277264,10.68175755,0.244797549,-9.232914827,Spandrel,./img/spandrel.png
UHPC,Rainscreen,14.7554033,0.159409566,0.717973524,0.23569326,-2.453995135,Ultra-High Performance Concrete (fibreC),./img/uhpc.png
GFRC,Rainscreen,14.60661742,0.144223589,0.717973524,0.321311489,-2.450421097,Glass Fiber Reinfrced Concrete (GFRC),./img/gfrc.png
ACM,Rainscreen,10.48992559,0.077785153,0.717973524,0.160922285,-3.734844982,Aluminum Composite Material (ACM),./img/acm.png
Terracotta,Rainscreen,7.991165875,0.341785344,0.717973524,0.222224667,-2.966099179,Terracotta,./img/terracotta.png
PhenResin,Rainscreen,7.912379011,0.108582256,6.48012198,0.196640546,-5.117724271,Phenolic Resin,./img/phenresin.png
FiberCement,Rainscreen,7.551004921,0.080254768,6.206553267,0.312773411,-5.171844797,Fiber Cement,./img/fibercement.png
Zinc,Rainscreen,6.681329621,0.072381227,0.717973524,0.138399166,-3.097860946,Formed Zinc Panel,./img/zinc.png
Granite1,Rainscreen,6.428921502,0.075701976,0.717973524,0.166952647,-2.149455824,Granite,./img/granite1.png
Limestone1,Rainscreen,7.991165875,0.341785344,0.717973524,0.222224667,-2.966099179,Limestone,./img/limestone1.png
Steel,Rainscreen,4.703733542,0.060136374,3.306303556,0.134990226,-2.167922151,Formed Steel Panel,./img/steel1.png
Wood,Rainscreen,3.014402,0.081790941,1.728505167,1.537964737,-1.45631249,Wood,./img/wood1.png
