material,type,impact1,impact2,impact3,impact4,impact5,name,img
MVGranite,Masonry Veneer,18.28514101,0.351365021,0.711687223,0.653585,-1.00501,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,11.54573152,0.329121005,0.711687223,0.61564,-1.00656,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,8.629073875,0.204327931,0.711687223,0.466198,-1.01265,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,5.789686279,0.087256861,0.711687223,0.338891,-0.8257,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,13.36560877,0.072705647,12.35324247,0.073046,-3.78518,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,13.06159705,0.051625675,12.97313369,1.639984,-0.82157,EIFS (XPS),./img/mefis.png
MPrecast,Misc,6.985080055,0.090479899,0.711687223,1.139911,-0.79979,Precast Concrete,./img/mprecast.png
MMinWool,Misc,3.216098568,0.044426722,1.61723946,0.136787,-0.82157,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,14.14635887,0.197835797,5.651951687,0.195283,-5.13125,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,13.42098049,0.210382362,6.354358114,0.247739,-4.37207,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,11.42740653,0.196599237,6.333512638,0.246134,-4.10166,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,7.407788183,0.220137904,6.10396845,1.030539,-1.09334,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,14.82169032,0.142281649,0.711687223,0.463322,-2.4469,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,11.01207335,0.076208259,0.711687223,0.163546,-3.73484,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,7.944242668,0.337850404,0.711687223,0.223481,-2.9663,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,8.329502156,0.107372006,6.85685564,0.200055,-5.11772,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,8.011816751,0.079200164,6.595185328,0.284242,-5.17184,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,6.715241878,0.07024631,0.711687223,0.140452,-3.0912,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,6.616353871,0.081559021,0.72651404,0.202833,-1.05386,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,6.467368561,0.074136529,0.711687223,0.169601,-2.14953,Granite,./img/rgranite.png
RTBrick,Rainscreen,6.188950555,0.092845371,0.711687223,0.204787,-1.71059,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,6.116328864,0.074296871,0.711687223,0.169875,-2.14951,Limestone,./img/rlimestone.png
RSteel,Rainscreen,4.681451005,0.058068737,3.239741494,0.136983,-2.1676,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,4.812880692,0.072405975,3.843731189,0.687557,-2.33059,Wood,./img/rwood.png
