material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.5736388,0,0,0,0,1.2573019,0,0,0,0.2248949,0,0,13.983199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.5736388,0,0,0,0,1.2573019,0,0,0,0.2248949,0,0,0,7.2215457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.5736388,0,0,0,0,1.2573019,0,0,0,0,0.2263269,0,0,0,0,0,0,4.1786629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.5019339,0,0,0,0,0,0,0,0,0.1146614,0,0,0,0,1.7983256,0,0,0.864551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,0.0441774,0.2989074,1.4725159,0,0,0,0,0,0,0,0,0,0,0,0,0.4769857,0,0,0,0,0,0,0,0,0,0.6052169,10.540511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIFS,Misc,EIFS (XPS),./img/mefis.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0,0,10.354631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003509,0.1607692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPrecast,Misc,Precast Concrete,./img/mprecast.png,0.0441774,0.2989074,1.4725159,0,0,0,0,0,1.070835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.5019339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003509,0.1607692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,0,0,0,0,0,4.154815403,0.3510866,0.6493583,0,0,0.0298876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3775318,0,0,0.0001515,4.6340578,0.007951,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,0.0441774,0.2989074,1.4725159,0,0,0,0,0.6696067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3885051,0,0,0,0,0,5.9761354,0,0.0001515,4.6340578,0.007951,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,0.0441774,0.2989074,1.4725159,0,0,0,0,0.6493583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3775318,0,0,0.0001515,4.6340578,0.007951,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,0.0441774,0.2989074,1.4725159,0,0,0,0,0.389615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6337293,0.0001515,4.6340578,0.007951,0.1393546,0,0,0,0,0,0,0,0,0,0.0074662,0,0
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.6453436,0,0,0,0.006,0,10.037514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6776505,0,0,0,0,0,0,0,0,0,0
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,0.0441774,0.2989074,1.4725159,0.5690974,0.212773197,0,0,0.7170484,0,0,0,0.006,0,0,1.0268426,0,0,0,0,0,0,0,0,0,0,0.6052169,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1357095,0,0,0,0,0,0,0,0,0
