material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.573638752,0,1.257301919,0,0,0,0.2248949,0,13.98319922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.573638752,0,1.257301919,0,0,0,0.2248949,0,0,7.221545711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.573638752,0,1.257301919,0,0,0,0,0.226326946,0,0,4.178662946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.089167579,0.298907441,1.472515882,0,0,0,0,0,0,0,0,0,0.476985741,0,0,0,0,0,0.605216854,6.352804012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.089167579,0.298907441,1.472515882,0,0,4.154815403,0.351086576,0.64935832,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37753181,0.000151507,4.634057844,0.007951032,0.13935456,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.645343596,0.072415022,0,10.03751367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677650497,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.71704844,0.072415022,0,0,1.026842606,0,0,0,0,0,0,0.605216854,0,0,0,0,0,0,0,0,0,6.135709504,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.788753284,0.101880444,0,0,3.422808687,0.079392564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.456882102,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.645343596,0.038954288,0,0,3.422808687,0.079392564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.688362175,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.645343596,0.038954288,0,0,3.422808687,0.119088846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302808646,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.501933908,0.109371654,0,0.413309386,0,0.079392564,0,0,0,0,0,0.605216854,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579174782,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.71704844,0.072415022,0,0,1.369123475,0.211713503,0,0,0.806361772,0,0,0,0,0.833793689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.71704844,0.072415022,0,0,1.369123475,0.211713503,0,0,0,0.455482417,0,0,0,0.833793689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.501933908,0.109371654,0,0.413309386,0,0.079392564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071257521,1.067165669,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.089167579,0.298907441,1.472515882,0.569097352,0.212773197,0,0,0.501933908,0.109371654,0,0.413309386,1.232211127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012562777,0.537417472
