material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0.5434536,0,0,0,0,1.2332171,0,0,0,0.2214173,0,0,13.984797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0.5434536,0,0,0,0,1.2332171,0,0,0,0.2214173,0,0,0,7.2230205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0.5434536,0,0,0,0,1.2332171,0,0,0,0,0.2270628,0,0,0,0,0,0,4.1793857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0.4755219,0,0,0,0,0,0,0,0,0.1128883,0,0,0,0,1.3131808,0,0,0.8647005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,0.0450881,0.2989683,1.4606861,0,0,0,0,0,0,0,0,0,0,0,0,0.4459435,0,0,0,0,0,0,0,0,0,0.5452944,10.453301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIFS,Misc,EIFS (XPS),./img/mefis.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0,0,10.354688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003179,0.1633083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPrecast,Misc,Precast Concrete,./img/mprecast.png,0.0450881,0.2989683,1.4606861,0,0,0,0,0,1.0710018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52603
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,0.0450881,0.2989683,1.4606861,0.5455609,0.213872302,0,0,0.4755219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003179,0.1633083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,0,0,0,0,0,4.132923951,0.3510866,0.6151888,0,0,0.0298364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3776186,0,0,0.0001522,4.6348897,0.0080784,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,0.0450881,0.2989683,1.4606861,0,0,0,0,0.6343717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3500392,0,0,0,0,0,5.6877411,0,0.0001522,4.6348897,0.0080784,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,0.0450881,0.2989683,1.4606861,0,0,0,0,0.6151888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3776186,0,0,0.0001522,4.6348897,0.0080784,0.1393546,0,0,0,0,0,0,0,0,0,0,0,0
