material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.560066147,0,1.23959197,0,0,0,0.238856479,0,14.47071394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.560066147,0,1.23959197,0,0,0,0.238856479,0,0,7.671559302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.560066147,0,1.23959197,0,0,0,0,0.268502524,0,0,4.456712341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.412977355,0.701765082,1.461209363,0,0,0,0,0,0,0,0,0,0.892030755,0,0,0,0,0,1.093225375,11.66290124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.412977355,0.701765082,1.461209363,0,0,4.134540039,0.352530297,1.267988299,0,0,0,0,0,0,0,0,0,0,0,0,0,4.378578169,0.007588796,9.529350397,0.086775109,0.27870912,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.630074416,0.073020914,0,9.896128484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791666844,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,1.016282825,0,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,5.711372073,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.770090953,0.102732872,0,0,3.387609418,0.074237658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539243143,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.412977355,0.701765082,1.461209363,0.59747508,0.45161697,0,0,1.260148831,0.078560431,0,0,6.775218835,0.148475316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.810276529,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.412977355,0.701765082,1.461209363,0.59747508,0.45161697,0,0,1.260148831,0.078560431,0,0,6.775218835,0.222712974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188901445,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.490057879,0.110286759,0,0.407487643,0,0.074237658,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,0,0,0,0,2.582165544,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,1.355043767,0.197967088,0,0,0.834475027,0,0,0,0,0.829724803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.412977355,0.701765082,1.461209363,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,1.355043767,0.197967088,0,0,0,0.483865991,0,0,0,0.829724803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.412977355,0.701765082,1.461209363,0.59747508,0.45161697,0,0,0.980115758,0.220573519,0,0.814975287,0,0.148475316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289846495,2.126133472,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.412977355,0.701765082,1.461209363,0.59747508,0.45161697,0,0,0.980115758,0.220573519,0,0.814975287,2.439078781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077050069,-0.574635029
