material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.590553348,0,1.059487441,0,0,0,0.243320563,0,14.49660252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.590553348,0,1.059487441,0,0,0,0.243320563,0,0,7.695456456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.590553348,0,1.059487441,0,0,0,0,0.270110719,0,0,4.471676776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.404911876,0.70353111,0.651480128,0,0,0,0,0,0,0,0,0,0.432523158,0,0,0,0,0,1.213118234,9.27846551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.404911876,0.70353111,0.651480128,0,0,2.305305791,0.352556546,1.337011242,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098413577,0.007719798,9.532406256,0.087804415,0.27870912,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.664372517,0.072744729,0,8.458286354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95659953,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,0.395746794,0,0,0,0,0,0,0.606559117,0,0,0,0,0,0,0,0,0,3.875346954,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.812010854,0.102344308,0,0,1.319155981,0.035995963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54228448,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.404911876,0.70353111,0.651480128,0.621955466,0.449852802,0,0,1.328745033,0.078263295,0,0,2.638311961,0.071991927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49825639,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.404911876,0.70353111,0.651480128,0.621955466,0.449852802,0,0,1.328745033,0.078263295,0,0,2.638311961,0.10798789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.884799276,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.51673418,0.109869625,0,0.348282379,0,0.035995963,0,0,0,0,0,0.606559117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423021572,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,0.527662392,0.095989235,0,0,0.83596793,0,0,0,0,0.462631726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.404911876,0.70353111,0.651480128,0.621955466,0.224926401,0,0,0.738191685,0.072744729,0,0,0.527662392,0.095989235,0,0,0,0.485373249,0,0,0,0.462631726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.404911876,0.70353111,0.651480128,0.621955466,0.449852802,0,0,1.033468359,0.21973925,0,0.696564759,0,0.071991927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286625044,1.010196913,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.404911876,0.70353111,0.651480128,0.621955466,0.449852802,0,0,1.033468359,0.21973925,0,0.696564759,0.949792306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076441288,1.98758602
