material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37,mat38,mat39,mat40,mat41,mat42,mat43,mat44,mat45,mat46,mat47,mat48,mat49
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.5600661,0,0,0,0,1.0348231,0,0,0,0.2396219,0,0,14.49204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.5600661,0,0,0,0,1.0348231,0,0,0,0.2396219,0,0,0,7.6912452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.5600661,0,0,0,0,1.0348231,0,0,0,0,0.2703213,0,0,0,0,0,0,4.4688839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.4900579,0,0,0,0,0,0,0,0,0.1221698,0,0,0,0,1.4847632,0,0,0.9245967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,0.4129774,0.7017651,0.6396402,0,0,0,0,0,0,0,0,0,0,0,0,0.3704359,0,0,0,0,0,0,0,0,0,1.0932254,18.498731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIFS,Misc,EIFS (XPS),./img/mefis.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,0,0,23.74537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006445,0.3320496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPrecast,Misc,Precast Concrete,./img/mprecast.png,0.4129774,0.7017651,0.6396402,0,0,0,0,0,1.0832715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26454
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,0.9801158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006445,0.3320496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,0,0,0,0,0,2.283384956,0.3525303,1.2679883,0,0,0.0601416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0984829,0,0,0.0075888,9.5293504,0.0867751,0.2787091,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,0.4129774,0.7017651,0.6396402,0,0,0,0,1.307527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3508855,0,0,0,0,0,2.1508899,0,0.0075888,9.5293504,0.0867751,0.2787091,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,0.4129774,0.7017651,0.6396402,0,0,0,0,1.2679883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0984829,0,0,0.0075888,9.5293504,0.0867751,0.2787091,0,0,0,0,0,0,0,0,0,0,0,0
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,0.4129774,0.7017651,0.6396402,0,0,0,0,0.760793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2587389,0.0075888,9.5293504,0.0867751,0.2787091,0,0,0,0,0,0,0,0,0,0.0457915,0,0
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.6300744,0,0,0,0.006,0,8.2613815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7975619,0,0,0,0,0,0,0,0,0,0
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.7000827,0,0,0,0.006,0,0,0.3848822,0,0,0,0,0,0,0,0,0,0,0.5466127,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4294969,0,0,0,0,0,0,0,0,0
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.7000827,0,0,0,0.009,0,0,1.2829407,0.0308289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5427907,0,0,0,0,0,0,0,0
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,1.2601488,0,0,0,0.007,0,0,2.5658813,0.0616577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8102765,0,0,0,0,0,0,0
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,1.2601488,0,0,0,0.007,0,0,2.5658813,0.0924866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1781897,0,0,0,0,0,0
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.4900579,0,0,0,0.009,0,0.3401745,0,0.0308289,0,0,0,0,0,0,0,0,0,0.5466127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4165957,0,0,0,0,0
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,0.4215811,0.7163852,0.652966,0.6099225,0.230512828,0,0,0.643201,0,0,0,0.004,0,1.101315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0614794,0,0,0,0,0,0,0,0,0,0,0
RGranite,Rainscreen,Granite,./img/rgranite.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.7000827,0,0,0,0.006,0,0,0.5131763,0.0822103,0,0,0.4582326,0.8357048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.4900579,0,0,0,0.009,0,0.3401745,0,0,0.1221698,0,0,0,0,0,0.7339447,0.2204643,0.9245967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,0.4129774,0.7017651,0.6396402,0.5974751,0.225808485,0,0,0.7000827,0,0,0,0.006,0,0,0.5131763,0.0822103,0,0,0.4582326,0,0.4851076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,0.9801158,0,0,0,0.018,0,0.6803491,0,0.0616577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2898465,1.0012243,0,0,0
RWood,Rainscreen,Wood,./img/rwood.png,0.4129774,0.7017651,0.6396402,0.5974751,0.45161697,0,0,0.9801158,0,0,0,0.018,0,0.6803491,0.6158115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770501,-0.0654535,0
