material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28,mat29,mat30,mat31,mat32,mat33,mat34,mat35,mat36,mat37
Granite,Masonry Veneer,Granite,./img/granite.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.560066147,0,1.034823076,0,0,0,0.239621867,0,14.4920403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone,Masonry Veneer,Limestone,./img/limestone.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.560066147,0,1.034823076,0,0,0,0.239621867,0,0,7.691245174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,Masonry Veneer,Brick,./img/brick.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.560066147,0,1.034823076,0,0,0,0,0.270321267,0,0,4.4688839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsMetPanel,Face Sealed,Insulated Metal Panel,./img/insmetalpanel.png,0.412977355,0.701765082,0.639640185,0,0,0,0,0,0,0,0,0,0.370435927,0,0,0,0,0,1.093225375,8.182288842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spandrel,Curtain Wall,Spandrel,./img/spandrel.png,0.412977355,0.701765082,0.639640185,0,0,2.283384956,0.352530297,1.267988299,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098482886,0.007588796,9.529350397,0.086775109,0.27870912,0,0,0,0,0,0,0,0,0,0,0
GFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.630074416,0.073020914,0,8.261381461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797561949,0,0,0,0,0,0,0,0,0
ACM,Rainscreen,Aluminum Composite Material (ACM),./img/acm.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,0.384882199,0,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,3.429496894,0,0,0,0,0,0,0,0
Terracotta,Rainscreen,Terracotta,./img/terracotta.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.770090953,0.102732872,0,0,1.282940664,0.030828865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.542790689,0,0,0,0,0,0,0
PhenResin,Rainscreen,Phenolic Resin,./img/phenresin.png,0.412977355,0.701765082,0.639640185,0.59747508,0.45161697,0,0,1.260148831,0.078560431,0,0,2.565881328,0.06165773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.810276529,0,0,0,0,0,0
FiberCement,Rainscreen,Fiber Cement,./img/fibercement.png,0.412977355,0.701765082,0.639640185,0.59747508,0.45161697,0,0,1.260148831,0.078560431,0,0,2.565881328,0.092486595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.178189712,0,0,0,0,0
Zinc,Rainscreen,Formed Zinc Panel,./img/zinc.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.490057879,0.110286759,0,0.340174531,0,0.030828865,0,0,0,0,0,0.546612687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416595682,0,0,0,0
Granite1,Rainscreen,Granite,./img/granite1.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,0.513176266,0.082210307,0,0,0.835704843,0,0,0,0,0.458232625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limestone1,Rainscreen,Limestone,./img/limestone1.png,0.412977355,0.701765082,0.639640185,0.59747508,0.225808485,0,0,0.700082684,0.073020914,0,0,0.513176266,0.082210307,0,0,0,0.485107632,0,0,0,0.458232625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,Rainscreen,Formed Steel Panel,./img/steel1.png,0.412977355,0.701765082,0.639640185,0.59747508,0.45161697,0,0,0.980115758,0.220573519,0,0.680349061,0,0.06165773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289846495,1.00122431,0,0
Wood,Rainscreen,Wood,./img/wood1.png,0.412977355,0.701765082,0.639640185,0.59747508,0.45161697,0,0,0.980115758,0.220573519,0,0.680349061,0.923717278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077050069,-0.317071363
