material,type,name,img,label,i1,i2,i3,i4,i5,i6,,
gButtGlazed,Glass,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed,59,20,6,8,7,1,,
gHollowMetalFrame,Glass,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame,58,19,5,7,6,1,,
gWoodFrame,Glass,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame,29,10,4,4,3,1,,
cFurredOutMFB,CMU,Furred MFB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB,31,8,4,3,1,1,,
cFurredOutEcosmart,CMU,Furred Low Carbon MFB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB,30,5,2,3,1,1,,
cPaintedBlock,CMU,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted,20,4,2,2,1,0,,
cJandris,CMU,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block,18,4,6,3,1,3,,
cFurredOutMDF,CMU,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF,38,13,4,6,4,2,,
ms16MinWoolMFB,Metal Stud,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB,20,7,3,2,1,4,,
msEmb16MinWoolMFB,Metal Stud,Embossed 16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB,18,6,3,1,1,3,,
ms24MinWoolMFB,Metal Stud,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB,18,6,3,1,1,3,,
msCut24MinWoolMFB,Metal Stud,Cut-out 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Mineral Wool & MFB,17,7,3,2,1,4,,
ms16MinWoolEcosmart,Metal Stud,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Mineral Wool & Ecosmart,18,4,1,2,1,4,, 
msEmb24MinWoolMFB,Metal Stud,Embossed 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Embossed 24 OC w/ Mineral Wool & MFB,17,6,3,1,1,2,,
ms16GlassWoolMFB,Metal Stud,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & MFB,16,6,3,1,1,2,,
ms16MFB,Metal Stud,16 OC & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & MFB,15,5,3,1,1,2,,
ms16CelluloselMFB,Metal Stud,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & MFB,26,9,12,3,2,2,,
