material,type,value,name,img,label
gButtGlazed,Glass,68.45,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed
gHollowMetalFrame,Glass,67.09,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame
gWoodFrame,Glass,21.49,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame
cFurredOutMFB,CMU,36.46,Furred MFB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB
cFurredOutEcosmart,CMU,33.98,Furred Low Carbon MFB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB
cPaintedBlock,CMU,23.37,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted
cJandris,CMU,20.45,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block
cFurredOutMDF,CMU,5.21,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF
ms16MinWoolMFB,Metal Stud,22.56,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB
msEmb16MinWoolMFB,Metal Stud,20.55,Embossed 16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB
ms24MinWoolMFB,Metal Stud,20.45,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB
msCut24MinWoolMFB,Metal Stud,20.09,Cut-out 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Mineral Wool & MFB
ms16MinWoolEcosmart,Metal Stud,20.08,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Mineral Wool & Ecosmart
msEmb24MinWoolMFB,Metal Stud,19.11,Embossed 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Embossed 24 OC w/ Mineral Wool & MFB
ms16GlassWoolMFB,Metal Stud,18.20,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & MFB
ms16MFB,Metal Stud,17.06,16 OC & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & MFB
ms16CelluloselMFB,Metal Stud,16.44,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & MFB
msIndustryBest,Metal Stud,13.72,Industry Best,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best
ms16MinWoolMDF,Metal Stud,-8.69,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Mineral Wool & MDF
msReimagined,Metal Stud,-18.27,Reimagined,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined
ws24MinWoolMFB,Wood Stud,11.23,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Mineral Wool & MFB
ws16MinWoolMFB,Wood Stud,8.74,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Mineral Wool & MFB
ws16MinWoolEcosmart,Wood Stud,6.27,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/WoodStuds_Axon_WS03_16_MinWool_Ecosmart.png,WS - 16 OC w/ Mineral Wool & Ecosmart
ws16GlassWoolMFB,Wood Stud,4.39,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS04_16_GlassWool_MFB.png,WS - 16 OC w/ Glass Wool & MFB
ws16MFB,Wood Stud,3.24,16 OC & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS05_16_NoIns_MFB.png,WS - 16 OC & MFB
ws16CelluloseMFB,Wood Stud,2.62,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS06_16_Cellulose_MFB.png,WS - 16 OC w/ Cellulose & MFB
wsIndustryBest,Wood Stud,1.91,Industry Best,./img/Partitions/Axons/WoodStuds_Axon_WS07_BEST_16_GlassWool_Ecosmart.png,WS - Industry Best
ws16MinWoolMDF,Wood Stud,-22.51,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/WoodStuds_Axon_WS09_16_MinWool_MDF.png,WS - 16 OC w/ Mineral Wool & MDF
wsReimagined,Wood Stud,-34.07,Reimagined,./img/Partitions/Axons/WoodStuds_Axon_WS10_Reimagined_16_Cellulose_MDF.png,WS - Reimagined
