material,type,impact1,impact2,name,img,label
gButtGlazed,Glass,66.84,1.61,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed
gHollowMetalFrame,Glass,66.10,0.99,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame
gWoodFrame,Glass,20.50,1.00,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame
cFurredOutMFB,CMU,34.58,1.88,Furred MFB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB
cFurredOutEcosmart,CMU,31.40,2.58,Furred Low Carbon MFB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB
cPaintedBlock,CMU,21.94,1.43,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted
cJandris,CMU,18.64,1.81,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block
cFurredOutMDF,CMU,3.13,2.08,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF
ms16MinWoolMFB,Metal Stud,22.04,0.52,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB
msEmb16MinWoolMFB,Metal Stud,20.05,0.50,Embossed 16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB
ms24MinWoolMFB,Metal Stud,19.95,0.50,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB
msCut24MinWoolMFB,Metal Stud,19.57,0.52,Cut-out 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Mineral Wool & MFB
ms16MinWoolEcosmart,Metal Stud,18.87,1.22,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Mineral Wool & Ecosmart
msEmb24MinWoolMFB,Metal Stud,18.62,0.49,Embossed 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Embossed 24 OC w/ Mineral Wool & MFB
ms16GlassWoolMFB,Metal Stud,17.72,0.49,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & MFB
ms16MFB,Metal Stud,16.58,0.48,16 OC & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & MFB
ms16CelluloselMFB,Metal Stud,15.53,0.91,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & MFB
msIndustryBest,Metal Stud,12.55,1.17,Industry Best,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best
ms16MinWoolMDF,Metal Stud,-9.41,0.72,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Mineral Wool & MDF
msReimagined,Metal Stud,-19.34,1.08,Reimagined,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined
ws24MinWoolMFB,Wood Stud,10.71,0.52,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Mineral Wool & MFB
ws16MinWoolMFB,Wood Stud,8.19,0.56,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Mineral Wool & MFB
