material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22
gButtGlazed,Glass,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed,1.69,0.00,0.00,0.00,20.91,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2.39,43.06,0.00,0.00,0.31,0.00
gHollowMetalFrame,Glass,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame,1.69,0.00,0.00,0.00,40.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.39,21.89,0.00,0.00,0.31,0.00
gWoodFrame,Glass,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame,1.69,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.39,21.89,0.00,0.00,0.31,0.13
cFurredOutMFB,CMU,Furred MFB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB,0.00,0.00,15.29,0.00,0.00,0.00,1.98,0.73,1.74,3.62,2.39,0.00,0.00,0.07,0.00,0.00,9.23,0.00,0.00,0.00,1.19,0.00
cFurredOutEcosmart,CMU,Furred Low Carbon MFB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB,0.00,0.00,15.29,0.00,0.00,0.00,1.98,0.73,1.74,3.62,2.39,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,7.78,1.19,0.00
cPaintedBlock,CMU,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted,0.00,0.00,15.29,0.00,0.00,0.00,1.98,0.73,1.74,0.00,2.39,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00
cJandris,CMU,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block,0.00,0.00,0.00,12.38,0.00,0.00,1.98,0.73,1.74,0.00,2.39,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00
cFurredOutMDF,CMU,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF,0.00,0.00,15.29,0.00,0.00,0.00,1.98,0.73,1.74,3.62,2.39,0.00,0.00,0.07,0.00,0.00,0.00,0.00,17.33,0.00,1.19,0.00
ms16MinWoolMFB,Metal Stud,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB,6.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,0.00,0.00,0.00,9.23,0.00,0.00,0.00,1.19,0.00
msEmb16MinWoolMFB,Metal Stud,Embossed 16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB,4.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,0.00,0.00,0.00,9.23,0.00,0.00,0.00,1.19,0.00
ms24MinWoolMFB,Metal Stud,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,0.00,0.00,0.00,9.23,0.00,0.00,0.00,1.19,0.00
