material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22
gButtGlazed,Glass,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed,1.64,0,0,0,20.91,0,0,0,0,0,0,0.05,0,0,0,0,2.46,43.06,0,0,0.32,0
gHollowMetalFrame,Glass,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame,1.64,0,0,0,40.77,0,0,0,0,0,0,0,0,0,0,0,2.46,21.9,0,0,0.32,0
gWoodFrame,Glass,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame,1.64,0,0,0,0,-4.96,0,0,0,0,0,0,0,0,0,0,2.46,21.9,0,0,0.32,0.13
cFurredOutMFB,CMU,Furred GWB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB,0,0,15.29,0,0,0,1.97,0.72,1.75,3.59,2.35,0,0,0.07,0,0,9.5,0,0,0,1.22,0
cFurredOutEcosmart,CMU,Furred Low Carbon GWB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB,0,0,15.29,0,0,0,1.97,0.72,1.75,3.59,2.35,0,0,0.07,0,0,0,0,0,7.02,1.22,0
cPaintedBlock,CMU,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted,0,0,15.29,0,0,0,1.97,0.72,1.75,0,2.35,0,0,0.07,0,0,0,0,0,0,1.22,0
cJandris,CMU,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block,0,0,0,12.38,0,0,1.97,0.72,1.75,0,2.35,0,0,0.07,0,0,0,0,0,0,1.22,0
cFurredOutMDF,CMU,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF,0,0,15.29,0,0,0,1.97,0.72,1.75,3.59,2.35,0,0,0.07,0,0,0,0,-21.75,0,1.22,0
ms16MinWoolMFB,Metal Stud,16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB,6.34,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,9.5,0,0,0,1.22,0
msEmb16MinWoolMFB,Metal Stud,Embossed 16 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB,4.34,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,9.5,0,0,0,1.22,0
ms24MinWoolMFB,Metal Stud,24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB,4.23,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,9.5,0,0,0,1.22,0
msCut24MinWoolMFB,Metal Stud,Cut-out 24 OC w/ Mineral Wool & GWB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Mineral Wool & MFB,3.87,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,9.5,0,0,0,1.22,0
