material,type,name,img,label,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,,,
gButtGlazed,Glass,Butt-Glazed,./img/Partitions/Axons/Glass_Axon_G01_ButtGlazed.png,G - Butt-Glazed,2.16,0.00,0.00,0.00,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,5.92,88.54,0.00,0.00,2.89,0.00,0,0,0
gHollowMetalFrame,Glass,Hollow Metal Frame,./img/Partitions/Axons/Glass_Axon_G02_HollowMetalFrame.png,G - Hollow Metal Frame,2.16,0.00,0.00,0.00,10.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.92,45.02,0.00,0.00,2.89,0.00,0,0.778557204,0
gWoodFrame,Glass,Wood Frame,./img/Partitions/Axons/Glass_Axon_G03_WoodFrame.png,G - Wood Frame,2.16,0.00,0.00,0.00,0.00,7.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.92,45.02,0.00,0.00,2.89,0.79,0,0.778557204,0
cFurredOutMFB,CMU,Furred MFB,./img/Partitions/Axons/CMU_Axon_C01_FurredOut_MFB.png,CMU - Furred MFB,0.00,0.00,17.90,0.00,0.00,0.00,1.44,0.80,2.08,1.57,1.97,0.00,0.00,0.07,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0
cFurredOutEcosmart,CMU,Furred Low Carbon MFB,./img/Partitions/Axons/CMU_Axon_C02_FurredOut_Ecosmart.png,CMU - Furred Low Carbon MFB,0.00,0.00,17.90,0.00,0.00,0.00,1.44,0.80,2.08,1.57,1.97,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,16.33,11.15,0.00,0,0,0
cPaintedBlock,CMU,Painted,./img/Partitions/Axons/CMU_Axon_C03_PaintedBlock.png,CMU - Painted,0.00,0.00,17.90,0.00,0.00,0.00,1.44,0.80,2.08,0.00,1.97,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,11.15,0.00,0,0,0
cJandris,CMU,Painted Low Carbon Block,./img/Partitions/Axons/CMU_Axon_C04_Jandris.png,CMU - Painted Low Carbon Block,0.00,0.00,0.00,15.81,0.00,0.00,1.44,0.80,2.08,0.00,1.97,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,11.15,0.00,0,0,0
cFurredOutMDF,CMU,Furred MDF,./img/Partitions/Axons/CMU_Axon_C05_FurredOut_MDF.png,CMU - Furred MDF,0.00,0.00,17.90,0.00,0.00,0.00,1.44,0.80,2.08,1.57,1.97,0.00,0.00,0.07,0.00,0.00,0.00,0.00,12.98,0.00,11.15,0.00,0,0,0
ms16MinWoolMFB,Metal Stud,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS01_16_MinWool_MFB.png,MS - 16 OC w/ Mineral Wool & MFB,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0
msEmb16MinWoolMFB,Metal Stud,Embossed 16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS02_16_Emb_MinWool_MFB.png,MS - Embossed 16 OC w/ Mineral Wool & MFB,5.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0
ms24MinWoolMFB,Metal Stud,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS03_24_MinWool_MFB.png,MS - 24 OC w/ Mineral Wool & MFB,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0
msCut24MinWoolMFB,Metal Stud,Cut-out 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS04_24_Cut_MinWool_MFB.png,MS - Cut-out 24 OC w/ Mineral Wool & MFB,5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.036087104,0,0.008201619
ms16MinWoolEcosmart,Metal Stud,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/MetalStuds_Axon_MS05_16_MinWool_Ecosmart.png,MS - 16 OC w/ Mineral Wool & Ecosmart,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,0.00,0.00,0.00,16.33,11.15,0.00,0.027065328,0,0.009924176
msEmb24MinWoolMFB,Metal Stud,Embossed 24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS06_24_Emb_MinWool_MFB.png,MS - Embossed 24 OC w/ Mineral Wool & MFB,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0.018903017
ms16GlassWoolMFB,Metal Stud,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS07_16_GlassWool_MFB.png,MS - 16 OC w/ Glass Wool & MFB,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0,0,0.017950225
ms16MFB,Metal Stud,16 OC & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS08_16_NoIns_MFB.png,MS - 16 OC & MFB,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.024206249,0,0.008201619
ms16CelluloselMFB,Metal Stud,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/MetalStuds_Axon_MS09_16_Cellulose_MFB.png,MS - 16 OC w/ Cellulose & MFB,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.79,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
msIndustryBest,Metal Stud,Industry Best,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best,5.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00,0.00,0.00,16.33,11.15,0.00,0.072618746,0,0.008201619
ms16MinWoolMDF,Metal Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Mineral Wool & MDF,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,0.00,0.00,12.98,0.00,11.15,0.00,0.018154686,0,0.009924176
msReimagined,Metal Stud,Reimagined,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.79,0.00,0.00,12.98,0.00,11.15,0.00,0.018154686,0,0.009924176
ws24MinWoolMFB,Wood Stud,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Mineral Wool & MFB,0.00,-2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
ws16MinWoolMFB,Wood Stud,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Mineral Wool & MFB,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
ws16MinWoolEcosmart,Wood Stud,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/WoodStuds_Axon_WS03_16_MinWool_Ecosmart.png,WS - 16 OC w/ Mineral Wool & Ecosmart,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,0.00,0.00,0.00,16.33,11.15,0.00,0.018154686,0,0.009924176
ws16GlassWoolMFB,Wood Stud,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS04_16_GlassWool_MFB.png,WS - 16 OC w/ Glass Wool & MFB,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
ws16MFB,Wood Stud,16 OC & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS05_16_NoIns_MFB.png,WS - 16 OC & MFB,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
ws16CelluloseMFB,Wood Stud,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS06_16_Cellulose_MFB.png,WS - 16 OC w/ Cellulose & MFB,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.79,22.82,0.00,0.00,0.00,11.15,0.00,0.018154686,0,0.009924176
wsIndustryBest,Wood Stud,Industry Best,./img/Partitions/Axons/WoodStuds_Axon_WS07_BEST_16_GlassWool_Ecosmart.png,WS - Industry Best,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00,0.00,0.00,16.33,11.15,0.00,0.018154686,0,0.009924176
ws16MinWoolMDF,Wood Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/WoodStuds_Axon_WS09_16_MinWool_MDF.png,WS - 16 OC w/ Mineral Wool & MDF,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.34,0.00,0.00,0.00,0.00,0.00,12.98,0.00,11.15,0.00,0.018154686,0,0.009924176
