material,type,name,img,label,i1,i2,i3,i4,i5,i6,,
wpAluminumPanelA,Wall Protection,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized),63,21,2,8,5,0,,
wpAluminumPanelPC,Wall Protection,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated),53,17,1,7,5,0,,
wpStainlessSteelSheet,Wall Protection,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet,41,14,13,8,7,5,,
wpPVCFreeRigidSheet,Wall Protection,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet ,6,0,0,1,0,0,,
wpVinylRigidSheet,Wall Protection,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet ,5,6,3,-1,1,5,,
sSolidSurface,Stone / Ceramic,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface,43,19,2,5,2,0,,
sSinteredStone,Stone / Ceramic,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone,13,5,3,0,1,5,,
sPorcelainTile,Stone / Ceramic,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile,5,2,0,1,0,0,,
mMetalVeneerPanel,Misc.,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel,26,9,1,5,2,1,,
mTextile,Misc.,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile,5,2,0.2,0.5,0.2,0,,
mPaint,Misc.,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint,0.3,0.2,0.0,0.1,0.0,0.0,,
mWallpaperNW,Misc.,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven),0.2,0.1,0.1,0.0,0.0,0.0,,
mWallpaperPaper,Misc.,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper),0,3,3,-1,1,5,, 
mPlasticLaminate,Misc.,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate,7,4,1,2,1,0,,
saCemWdPanel,Sound Absorbing,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel,10,0,0,1,0,0,,
saAcousticWoodPanel,Sound Absorbing,Acoustic Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA02_AcousticWoodPanel.png,SA - Acoustic Wood Panel,36,14,1,4,2,0,,
saPETFeltPanel,Sound Absorbing,PET Felt Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA03_PET.png,SA - PET Felt Panel,7,0,3,1,1,1,,
saCorkTile,Sound Absorbing,Cork Tile,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA04_CorkTile.png,SA - Cork Tile,3,1,0,2,0,0,,
wBambooPanel,Wood,Bamboo Panel,./img/WallFinishes/Axons/Wood_Axon_W01_BambooPanel.png,W - Bamboo Panel,8,3,1,3,1,0,,
wVeneerMDF,Wood,Veneer (on MDF),./img/WallFinishes/Axons/Wood_Axon_W02_VeneeronMDF.png,W - Veneer (on MDF),9,5,1,3,2,0,,
wVeneerParticleBoard,Wood,Veneer (on Particle Board),./img/WallFinishes/Axons/Wood_Axon_W03_VeneeronParticleBoard.png,W - Veneer (on Particle Board),7,3,1,2,1,0,,
