material,type,impact1,impact2,impact3,impact4,impact5,name,img,label
wpAluminumPanelA,Wall Protection,8.51,0.05,8.65,0.1,-6.33,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized)
wpAluminumPanelPC,Wall Protection,7.06,0.05,7.2,0.1,-6.11,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated)
wpStainlessSteelSheet,Wall Protection,5.32,0.03,5.35,0,-6.65,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet
wpPVCFreeRigidSheet,Wall Protection,0.72,0.01,3.96,0,0,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet 
wpVinylRigidSheet,Wall Protection,0.62,0.01,1.91,0.01,0,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet 
sSolidSurface,Stone / Ceramic,5.95,0.08,6.08,0.05,0,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface
sSinteredStone,Stone / Ceramic,1.51,0.31,1.85,0.03,0,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone
sPorcelainTile,Stone / Ceramic,0.58,0.11,0.74,0.05,0,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile
mMetalVeneerPanel,Misc.,1.55,0.06,5.71,1.19,-3.87,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel
mTextile,Misc.,0.69,0,2.08,0,0,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile
mPaint,Misc.,0.04,0,0.37,0,0,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint
mWallpaperNW,Misc.,0.02,0,0.1,0.02,-0.01,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven)
mWallpaperPaper,Misc.,0,0,0.18,0.01,-0.01,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper)
mPlasticLaminate,Misc.,-1.75,0.04,0.14,1.72,0.44,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate
saCemWdPanel,Sound-Absorbing,1.23,0.11,1.41,0.09,0.01,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel
saAcousticWoodPanel,Sound-Absorbing,0.95,0.07,2.79,0.9,0.19,Acoustic Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA02_AcousticWoodPanel.png,SA - Acoustic Wood Panel
saPETFeltPanel,Sound-Absorbing,0.91,0.03,0.94,0.07,0,PET Felt Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA03_PET.png,SA - PET Felt Panel
saCorkTile,Sound-Absorbing,-0.93,0.16,-1.02,0.26,-0.04,Cork Tile,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA04_CorkTile.png,SA - Cork Tile
wBambooPanel,Wood,-0.44,0.1,1.61,1.08,0.31,Bamboo Panel,./img/WallFinishes/Axons/Wood_Axon_W01_BambooPanel.png,W - Bamboo Panel
wVeneerMDF,Wood,-1.45,0.05,0.92,1.81,0.46,Veneer (on MDF),./img/WallFinishes/Axons/Wood_Axon_W02_VeneeronMDF.png,W - Veneer (on MDF)
wVeneerParticleBoard,Wood,-1.71,0.04,0.26,1.74,0.46,Veneer (on Particle Board),./img/WallFinishes/Axons/Wood_Axon_W03_VeneeronParticleBoard.png,W - Veneer (on Particle Board)
