material_variable_name,material_name,material_color,hatched,legend_category
mat1,"Interior grade plywood, US, AWC - EPD",#000099,y,Support System
mat2,"Aluminum, cast",#4169E1,n,Support System
mat3,"Cement mortar, Latricrete - EPD",#000099,n,Support System
mat4,"Cement mortar, TCNA - EPD",#000099,n,Support System
mat5,"Domestic softwood, US, AWC - EPD",#000099,y,Support System
mat6,"Underlayment, fibrous",#000099,n,Support System
mat7,Acrylic solid surface (acrylic polymer and ATH),#89EFC0,n,Finish Material
mat8,"Anodized aluminum, sheet",#89EFC0,n,Finish Material
mat9,Bamboo plank,#89EFC0,y,Finish Material
mat10,Cork tile,#89EFC0,y,Finish Material
mat11,"Paint, interior acrylic latex",#89EFC0,n,Finish Material
mat12,"Porcelain ceramic tile, glazed",#89EFC0,n,Finish Material
mat13,"Stainless steel sheet, Chromium 18/8",#89EFC0,n,Finish Material
mat14,"Wall covering, wallpaper",#89EFC0,n,Finish Material
mat15,"Wall covering, textile",#89EFC0,n,Finish Material
mat16,"Cement grout, TCNA - EPD",#C2EAA7,n,Finish Material
mat17,"Aluminum, sheet",#89EFC0,n,Finish Material
mat18,Tectum Ceiling+Wall Panels - EPD,#89EFC0,n,Finish Material
mat19,Wallcoverings on Non-Woven Base - EPD,#89EFC0,n,Finish Material
mat20,"Archisonic  Acoustic PET  Panel, 12 mm",#89EFC0,n,Finish Material
mat21,"Acrovyn Wall Covering Sheet, 0.060"" - EPD",#89EFC0,n,Finish Material
mat22,"Wall covering, vinyl",#89EFC0,n,Finish Material
mat23,Cosentino Dekton - EPD,#89EFC0,n,Finish Material
mat24,"Tulipwood lumber, 2 inch",#70BF51,y,Finish Material
mat25,"Interior grade plywood, US, AWC - EPD",#C2EAA7,y,Finish Material
mat26,"Particleboard, AWC - EPD",#C2EAA7,y,Finish Material
mat27,"Medium density fiberboard (MDF), AWC - EPD",#C2EAA7,y,Finish Material
mat28,"Armstrong WoodWorks ACGI Flat Panels: SS1, SS2, SS3, SS4 - EPD",#89EFC0,n,Finish Material
mat29,"Adhesive, latex",#FBC05D,n,Finish Material
mat30,"Adhesive, polychloroprene (neoprene)",#FBC05D,n,Finish Material
mat31,"Steel, sheet",#89EFC0,n,Finish Material
mat32,High pressure laminate (HPL),#89EFC0,y,Finish Material
mat33,"Hardwood veneer, medium thickness",#89EFC0,y,Finish Material
mat34,"Adhesive, polyurethane",#FEE6BF,n,Finish Material
mat35,"Tulipwood lumber, 1 inch",#F59E46,y,Finish Material
mat36,"Polycarbonate, cellular, sheet good",#F59E46,n,Finish Material
mat37,"Wood stain, water based",#CCCCCC,n,Surface Treatment
mat38,"Powder coating, metal stock",#999999,n,Surface Treatment
mat39,"Polyurethane top coat, water-based, for wood",#999999,n,Surface Treatment
,,,,
