material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,58.35552044,19.45184015,8.091361802,7.564604502,6.483946716,0.052726388
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,37.08061368,12.72022497,6.321104701,6.297539617,5.23264006,0.052720528
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,27.52204002,10.38117148,1.825301547,1.108869495,1.129309704,0.052718132
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,16.77150853,6.132848906,2.79843025,0.788054167,0.82022961,0.033966472
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,41.68686071,9.012173056,2.126355733,0.917353266,0.974592773,0.22935387
MEIFS,Misc,EIFS (XPS),./img/mefis.png,41.16207594,4.860439631,2.400244848,0.503273128,0.504111303,4.322631144
MPrecast,Misc,Precast Concrete,./img/mprecast.png,29.94559853,8.053324628,2.19001877,1.417625916,1.067735604,0.022756025
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,10.07877345,4.113099987,0.85944208,0.45106599,0.536855833,0.033982581
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,44.95858352,14.03525498,3.302154553,2.494824738,3.488603562,0.01083528
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,41.71859995,14.12931058,11.88723565,2.669487077,4.237271978,0.316167627
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,36.43479588,11.59698235,3.048734837,2.184981774,2.834105925,0.022202687
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,14.79613386,8.121923556,2.631018618,1.665335709,1.893009701,0.079913572
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,46.2014904,15.06618228,4.079856561,2.828533516,2.920880184,0.176809373
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,33.03990367,12.70264814,2.262226341,1.559202949,2.361428221,0.360957281
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,25.70960227,8.782831254,2.005512788,1.270196062,1.597526068,0.040713288
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,25.12474308,9.393968568,2.848721457,1.313174941,1.660290813,0.039541562
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,23.898606,7.797940509,2.667692155,1.233121585,1.60790294,0.041025697
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,20.93246376,7.737516556,2.182183918,1.495204657,1.408718964,0.369691988
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,20.64911214,7.361597513,1.582540758,1.009918599,1.09665431,0.064717207
RGranite,Rainscreen,Granite,./img/rgranite.png,20.25601412,6.937358184,2.002902774,1.234293004,1.529360711,0.045577142
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,19.536995,7.025399295,1.478497542,0.898907718,0.955340075,0.052123068
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,19.15202808,6.589922588,1.92824621,1.191312914,1.481029406,0.045576821
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,14.67173022,5.380548285,1.344437373,0.85636235,0.84738861,0.051199437
RWood,Rainscreen,Wood,./img/rwood.png,9.467702266,5.52311659,1.356208619,0.898648063,0.906076854,0.039813577
