material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,45.29599377,18.35824154,7.281011065,8.287545023,6.740566481,0.031450265
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,30.63766287,12.71025373,5.756627029,6.948990756,5.484848549,0.031447046
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,23.77042941,10.61285587,1.873209075,1.468890781,1.362875834,0.031445726
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,16.71791931,6.759602909,3.119638242,1.076944737,1.038514165,0.020651114
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,63.93249018,16.89427476,4.017407117,2.201262219,2.2280778,0.252348871
MEIFS,Misc,EIFS (XPS),./img/mefis.png,61.55657927,7.555399532,3.821546964,0.925501911,0.838300732,4.735740013
MPrecast,Misc,Precast Concrete,./img/mprecast.png,27.09491118,8.847954612,2.221530481,1.827998732,1.32893665,0.0151331
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,12.58416717,6.327609567,1.175955829,0.818481942,0.90634451,0.025079285
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,54.60216062,20.05225177,5.111694219,4.739431811,6.36800207,0.011733095
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,53.05580092,21.31083006,13.02328504,5.321566847,7.10361002,0.184907117
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,48.09595471,18.26707091,4.873222389,4.332509054,5.37946193,0.019845058
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,34.18909832,13.53088397,6.130956624,3.385003955,3.835741752,0.049302411
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,40.07589958,15.25063524,3.89480842,3.359744336,3.239987588,0.10306251
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,33.84966994,13.90928126,2.494943057,2.286466842,3.28341366,0.200152687
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,26.27086513,10.24259266,2.095515565,1.888798825,2.333273779,0.024207383
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,44.44367329,17.91310082,5.816549825,3.316525572,4.344985024,0.030937237
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,43.43191501,15.35761151,5.534177373,3.166206723,4.263116814,0.032476285
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,23.13408805,9.864655744,2.781776537,2.578164605,2.269646343,0.205016684
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,18.71871365,7.872239027,1.610757326,1.311448256,1.290300903,0.038107963
RGranite,Rainscreen,Granite,./img/rgranite.png,20.64036169,8.16424905,2.108511992,1.727540822,2.050462344,0.026765507
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,19.20977768,7.974691929,1.575596057,1.245360232,1.198671453,0.032792594
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,19.88434196,7.874951483,2.044649681,1.682482796,2.002251058,0.02676533
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,22.17460168,9.500100614,2.138810133,2.096640029,1.717127261,0.046871857
RWood,Rainscreen,Wood,./img/rwood.png,25.32989495,9.915575265,2.637720373,2.041727724,2.150057655,0.03179391
