material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,50.26767714,23.05452294,8.516962889,9.03268888,7.742304755,0.031567961
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,33.17919619,15.71795895,6.713790936,7.561100156,6.283596724,0.03156445
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,25.15997041,12.98736615,2.118917757,1.536604639,1.494922399,0.031563006
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,17.40997377,8.124339065,3.6062406,1.112738299,1.132060473,0.020336181
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,65.00189671,18.80651255,4.256936116,1.975017795,2.093781897,0.267689808
MEIFS,Misc,EIFS (XPS),./img/mefis.png,69.68074279,9.163871928,4.435500227,0.94405599,0.899387962,5.161536503
MPrecast,Misc,Precast Concrete,./img/mprecast.png,28.9129282,10.65972537,2.530241725,1.935408179,1.453703687,0.013624395
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,12.60237433,7.569384191,1.307608176,0.826529842,0.978400303,0.025164529
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,50.7443024,21.95256723,5.359221319,4.37681332,5.843944512,0.012706857
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,50.84993216,23.22691426,14.19422538,4.717443522,6.81577821,0.195706456
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,45.74869818,20.46145359,5.241390366,4.155795698,5.181656495,0.019512727
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,37.10036467,16.5638365,7.109780157,3.604048148,4.33092743,0.051577548
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,40.55985023,17.87196362,4.360678948,3.478855872,3.54287285,0.105857691
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,30.06623213,15.0971648,2.478054847,1.968916601,2.860568969,0.216108917
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,23.16445577,10.93436214,2.102231345,1.653095045,1.985031291,0.024348384
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,38.93836663,19.16906783,6.205211171,2.865115107,3.668244665,0.031820974
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,37.62312767,15.78962447,5.856139167,2.686332059,3.555273028,0.033598112
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,19.19458347,9.692455278,2.38550353,1.888454234,1.750835002,0.221338474
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,19.16852814,9.392139119,1.799287228,1.349504551,1.40388111,0.038746959
RGranite,Rainscreen,Granite,./img/rgranite.png,18.65467072,8.865178882,2.212409249,1.596035278,1.896789649,0.027287602
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,18.0904081,9.007309856,1.69189743,1.21951059,1.238626219,0.031206717
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,17.77354199,8.489490685,2.136911,1.54656563,1.84081088,0.027287409
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,20.39742285,10.60200441,2.291773715,2.093236703,1.773342751,0.045780361
RWood,Rainscreen,Wood,./img/rwood.png,23.66536343,10.83328102,2.811502627,1.9378661,2.039459789,0.032146966
