material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,45.77083134,18.40622455,7.300041473,8.309206213,6.758184327,0.031532467
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,30.89337785,12.74347457,5.771673148,6.967153361,5.49918432,0.031529239
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,23.93619397,10.64059474,1.878105089,1.472730027,1.366437988,0.031527916
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,15.86849331,6.777270511,3.127792053,1.079759552,1.041228534,0.02070509
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,64.09959079,16.93843139,4.027907431,2.207015667,2.233901336,0.253008437
MEIFS,Misc,EIFS (XPS),./img/mefis.png,62.43084684,7.57514711,3.831535357,0.927920899,0.840491802,4.748117836
MPrecast,Misc,Precast Concrete,./img/mprecast.png,27.24993457,8.871080547,2.227336904,1.83277658,1.332410098,0.015172654
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,12.60542384,6.344148066,1.17902943,0.820621212,0.908713426,0.025144835
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,55.21433847,20.10466242,5.125054675,4.751819283,6.384646143,0.011763761
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,52.93310268,21.36653026,13.05732405,5.335475847,7.122176754,0.185390409
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,48.64650399,18.31481563,4.88595955,4.343832951,5.393522252,0.019896928
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,29.66011499,13.5662497,6.146981131,3.393851353,3.845767245,0.049431273
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,39.77578071,15.29049588,3.904988297,3.368525713,3.248455957,0.103331885
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,33.08045778,13.945636,2.5014641,2.292442989,3.291995532,0.200675827
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,26.42823042,10.26936377,2.100992623,1.893735586,2.339372267,0.024270654
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,43.2127851,17.95992037,5.831752565,3.325193989,4.356341529,0.031018098
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,42.13373828,15.39775176,5.548642075,3.17448225,4.27425934,0.032561169
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,23.21451865,9.890439034,2.789047278,2.584903164,2.275578527,0.205552537
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,18.71183716,7.89281473,1.614967369,1.314875994,1.293673368,0.038207566
RGranite,Rainscreen,Granite,./img/rgranite.png,20.73105667,8.185587981,2.114023019,1.732056103,2.055821645,0.026835464
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,19.3462515,7.995535414,1.579714199,1.248615235,1.201804425,0.032878304
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,19.9636665,7.895534276,2.04999379,1.686880308,2.00748435,0.026835287
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,22.2600858,9.524931066,2.14440035,2.102120026,1.721615324,0.046994366
RWood,Rainscreen,Wood,./img/rwood.png,18.87976001,9.941491645,2.644614593,2.047064196,2.155677269,0.03187701
