material,type,name,img,i1,i2,i3,i4,i5,i6
MVGranite,Masonry Veneer,Granite,./img/mvgranite.png,49.9784875,23.59453507,9.35165936,9.175652526,7.864845022,0.034820529
MVLimestone,Masonry Veneer,Limestone,./img/mvlimestone.png,32.0853923,15.81904384,7.349306224,7.667691618,6.40079303,0.034816965
MVBrick,Masonry Veneer,Brick,./img/mvbrick.png,23.67445135,12.91858586,2.245507308,1.494552107,1.589387177,0.034815504
MVTBrick,Masonry Veneer,Thin Brick,./img/mvtbrick.png,16.05325384,7.915286385,3.911477065,1.067401211,1.22266178,0.022864123
MInsMePanel,Misc,Insulated Metal Panel,./img/minsmepanel.png,58.0886337,16.60680464,4.17780752,1.568821063,2.110872968,0.279391008
MEIFS,Misc,EIFS (XPS),./img/mefis.png,70.7836052,9.023174207,4.831208546,0.892312496,0.926054977,5.243230015
MPrecast,Misc,Precast Concrete,./img/mprecast.png,27.47572261,10.41451885,2.701489745,1.907307546,1.578358989,0.016754789
MMinWool,Misc,EIFS (Min Wool),./img/mminwool.png,11.03129447,7.333688669,1.359512712,0.772014642,1.006467171,0.027766824
CSpandrelAlumB,Curtain Wall,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png,39.62173715,18.92829476,5.188708305,3.6326204,5.874312552,0.012814608
CSpandrelSteel,Curtain Wall,Spandrel (Steel),./img/cspandrelsteel.png,41.72964081,19.89698575,14.41888254,3.675587389,6.855202002,0.192717913
CSpandrelAlum,Curtain Wall,Spandrel (Alum),./img/cspandrelalum.png,37.10083607,18.22486625,5.240079866,3.637569664,5.223626016,0.021971689
CSpandrelWood,Curtain Wall,Spandrel (Wood),./img/cspandrelwood.png,35.96193408,16.48237351,7.737118681,3.573111354,4.699333324,0.054585741
RGFRC,Rainscreen,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png,36.02242234,16.88805831,4.568980086,3.345215359,3.604562863,0.114106865
RACM,Rainscreen,Aluminum Composite Material (ACM),./img/racm.png,21.64875896,12.85357577,2.226856093,1.460555002,2.889851896,0.221601392
RTerracotta,Rainscreen,Terracotta,./img/rterracotta.png,16.4456186,9.077442665,1.916743015,1.261021766,2.028027696,0.026801488
RPhenResin,Rainscreen,Phenolic Resin,./img/rphenresin.png,27.2983161,15.97317319,6.141710989,2.137366109,3.733896173,0.034252525
RFiberCement,Rainscreen,Fiber Cement,./img/rfibercement.png,25.77907695,12.32804972,5.737375406,1.940336061,3.625369385,0.0359565
RZinc,Rainscreen,Formed Zinc Panel,./img/rzinc.png,11.9611722,6.965701627,1.645008533,0.967946579,1.776930862,0.226986623
RUHPC,Rainscreen,UHPC (fibreC),./img/ruhpc.png,17.29391515,9.070925243,1.880385737,1.288503191,1.443583029,0.042191678
RGranite,Rainscreen,Granite,./img/rgranite.png,13.87341031,7.552396498,2.144264687,1.325476026,1.928698795,0.029633744
RTBrick,Rainscreen,Thin Brick,./img/rtbrick.png,14.43750404,8.114432242,1.688139162,1.096671297,1.279045023,0.036306704
RLimestone,Rainscreen,Limestone,./img/rlimestone.png,12.95103283,7.154338358,2.060475109,1.274851712,1.872875681,0.029633548
RSteel,Rainscreen,Formed Steel Panel,./img/rsteel.png,15.65023975,9.394821421,2.280681434,1.92843755,1.798878787,0.051894725
RWood,Rainscreen,Wood,./img/rwood.png,18.6424641,9.313224177,2.779693254,1.672093137,2.165304,0.035201
