material,type,value,name,img,label
mBaffle,Metal,9.06,Baffle,./img/Ceilings/Axons/Axon_MetalBaffle.png,M - Baffle (Metal)
mPan,Metal,5.55,Panel,./img/Ceilings/Axons/Axon_MetalPan.png,M -  Metal Pan
mPerforatedPan,Metal,4.84,Perforated Panel,./img/Ceilings/Axons/Axon_MetalPanPerforated.png,M - Perf Metal Pan
hcGypsum,Hard Ceiling,3.16,Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Gyp
hcMoistureResistantGyp,Hard Ceiling,3.04,Moisture Resistant Gypsum,./img/Ceilings/Axons/Axon_Gypsum.png,HC - Moisture Resistant Gyp
cFiberglassTrim,Cloud,3.76,Fiberglass (w/ Trim),./img/Ceilings/Axons/Axon_CloudwTrim.png,C - Fiberglass (w/ Trim)
cFiberglass,Cloud,2.80,Fiberglass,./img/Ceilings/Axons/Axon_Cloud.png,C - Fiberglass
ltFiberglass,Lay-In Tile,2.29,Fiberglass,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Fiberglass
ltMineralBoard,Lay-In Tile,1.90,Mineral Board,./img/Ceilings/Axons/Axon_Lay-InTile.png,LT - Mineral Board
ocAcousticalSpray,Open Ceiling,0.13,Acoustical Spray,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Acoustical Spray
ocPaint,Open Ceiling,0.40,Paint,./img/Ceilings/Axons/Axon_OpenCeiling.png,OC - Paint
wVeneerDense,Wood,7.49,Dense Grille (Veneer),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Veneer)
wVeneerOpen,Wood,7.34,Grille (Veneer),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Veneer)
wPoplarDense,Wood,3.45,Dense Grille (Poplar),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Poplar)
wPoplarOpen,Wood,3.64,Grille (Poplar),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Poplar)
wWalnutDense,Wood,4.49,Dense Grille (Walnut),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Walnut)
wWalnutOpen,Wood,4.76,Grille (Walnut),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Walnut)
wMapleDense,Wood,4.55,Dense Grille (Maple),./img/Ceilings/Axons/Axon_DenseGrille.png,W - Dense Grille (Maple)
wMapleOpen,Wood,4.77,Grille (Maple),./img/Ceilings/Axons/Axon_OpenGrille.png,W - Grille (Maple)
