material,type,value,name,img
sGranite,Stone / Ceramic,4.850984248,Granite,./img/Axon_Stone.png
sSlate,Stone / Ceramic,4.418068322,Slate,./img/Axon_Stone.png
sCeramic,Stone / Ceramic,1.199204262,Porcelain,./img/Axon_Stone.png
rRubber,Resilient,3.029932513,Rubber,./img/Axon_Resilient.png
rVinyl,Resilient,2.796618208,Vinyl,./img/Axon_Resilient.png
rLinoTile,Resilient,1.963514642,Linoleum,./img/Axon_Resilient.png
mConcrete,Misc.,2.007099982,Concrete Topper,./img/Axon_Misc.png
mTerrazzo,Misc.,2.498,Thin-Set Terrazzo,./img/Axon_Misc.png
mEpoxy,Misc.,2.6366,Epoxy,./img/Axon_Misc.png
cHigh,Carpet,8.434605096,High Pile,./img/Axon_Carpet.png
cMedium,Carpet,6.757901247,Medium Pile,./img/Axon_Carpet.png
cLow,Carpet,4.329559946,Low Pile,./img/Axon_Carpet.png
wEngineered,Wood,1.375476603,Engineered,./img/Axon_Wood.png
wBamboo,Wood,4.296468372,Bamboo,./img/Axon_Wood.png
wCork,Wood,1.650949088,Cork,./img/Axon_Wood.png
wSoftwood,Wood,2.143544979,Softwood Plank,./img/Axon_Wood.png
wHardwood,Wood,3.983983501,Hardwood Plank,./img/Axon_Wood.png
