material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.072692306,0,0,0,0,0,0,0,0,0,0,3.763541039,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014750903,0,0,1.072692306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330625113,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014750903,0.670399485,0,0,0,0,0,0,0.514053874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.06870395,0,0,0,0.501774996,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,2.328773902,0,0,0,0,0,0.129369666
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.06870395,0,0,0,0.501774996,0,0,0,0.001965,0,0,0,0,0,0,0,0,0,2.094804597,0,0,0,0,0,0,0,0.129369666
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.06870395,0,0,0,0.501774996,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,1.262356031,0,0,0,0,0,0,0.129369666
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,2.007099982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.498,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6366,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.06870395,0,0,0,0.501774996,0,0,0.162735619,0,0,0,7.701390532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.06870395,0,0,0,0,0,0,0.162735619,0,1,0,0,0,6.024686683,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.06870395,0,0,0,0.501774996,0,0,0.162735619,0,0,0,0,3.596345382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.06870395,0.738781451,0,0,0,0,0.084014396,0,0,2,0,0,0,0,0,0,0,0.380799895,0,0,0,0,0,0,0,0.103176911,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.06870395,1.595767933,0,0,0,0,0.126021594,0,0,2.402797984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103176911,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.06870395,1.063845289,0,0,0,0,0,0,0.00131,3,0,0,0,0,0.387720184,0,0,0,0,0,0,0,0,0,0,0,0.129369666
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.06870395,1.063845289,0,0,0,0,0.084014396,0,0,0,0,0,0,0,0,0.823804433,0,0,0,0,0,0,0,0,0,0.103176911,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.06870395,1.063845289,0,0,0,0,0.084014396,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.664242955,0,0,0.103176911,0
