material,type,value,name,img
MVGranite,Masonry Veneer,19.9084639,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,13.10930926,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,9.924108348,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,6.42478719,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,25.50195123,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,27.70310846,EIFS (XPS),./img/mefis.png
MPrecast,Misc,11.3907138,Precast Concrete,./img/mprecast.png
MMinWool,Misc,4.937853762,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,20.09620186,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,19.82563154,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,18.12494169,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,12.8781847,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,15.72314822,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,11.37962875,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,9.108969341,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,14.62621366,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,14.07907623,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,7.508861443,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,7.495203521,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,7.322571845,Granite,./img/rgranite.png
RTBrick,Rainscreen,7.128724265,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,6.971962809,Limestone,./img/rlimestone.png
RSteel,Rainscreen,8.002719509,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,6.867823237,Wood,./img/rwood.png
