material,type,name,img,label,i1,i2,i3,i4,i5,i6
wpAluminumPanelA,Wall Protection,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized),61,16,2,6,6,0
wpAluminumPanelPC,Wall Protection,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated),46,12,1,5,4,0
wpStainlessSteelSheet,Wall Protection,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet,25,6,13,2,7,4
wpPVCFreeRigidSheet,Wall Protection,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet ,26,1,1,3,2,0
wpVinylRigidSheet,Wall Protection,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet ,14,10,4,1,2,5
sSolidSurface,Stone / Ceramic,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface,66,21,3,6,5,0
sSinteredStone,Stone / Ceramic,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone,20,5,4,1,2,5
sPorcelainTile,Stone / Ceramic,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile,8,2,0,1,1,0
mMetalVeneerPanel,Misc.,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel,41,10,2,8,5,1
mTextile,Misc.,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile,15,4,0,1,1,0
mPaint,Misc.,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint,2,1,0,0,0,0
mWallpaperNW,Misc.,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven),1,0,0,0,0,0
mWallpaperPaper,Misc.,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper),1,4,5,0,2,5
mPlasticLaminate,Misc.,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate,23,5,6,5,5,0
saCemWdPanel,Sound Absorbing,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel,16,0,0,2,1,0
saAcousticWoodPanel,Sound Absorbing,Acoustic Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA02_AcousticWoodPanel.png,SA - Acoustic Wood Panel,48,22,5,8,6,0
saPETFeltPanel,Sound Absorbing,PET Felt Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA03_PET.png,SA - PET Felt Panel,11,0,5,2,1,1
saCorkTile,Sound Absorbing,Cork Tile,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA04_CorkTile.png,SA - Cork Tile,9,2,4,3,2,0
wBambooPanel,Wood,Bamboo Panel,./img/WallFinishes/Axons/Wood_Axon_W01_BambooPanel.png,W - Bamboo Panel,24,5,3,5,4,0
wVeneerMDF,Wood,Veneer (on MDF),./img/WallFinishes/Axons/Wood_Axon_W02_VeneeronMDF.png,W - Veneer (on MDF),30,7,6,6,6,0
wVeneerParticleBoard,Wood,Veneer (on Particle Board),./img/WallFinishes/Axons/Wood_Axon_W03_VeneeronParticleBoard.png,W - Veneer (on Particle Board),24,5,6,4,5,0
