material,type,impact1,impact2,name,img,label
wpAluminumPanelA,Wall Protection,8.69,0.05,Aluminum Panel (Anodized),./img/WallFinishes/Axons/WallProtection_Axon_WP01_AlumPlateAnodized.png,WP - Aluminum Panel (Anodized)
wpAluminumPanelPC,Wall Protection,7.25,0.05,Aluminum Panel (Powder Coated),./img/WallFinishes/Axons/WallProtection_Axon_WP02_AlumPlatePowderCoat.png,WP - Aluminum Panel (Powder Coated)
wpStainlessSteelSheet,Wall Protection,5.59,0.03,Stainless Steel Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP03_StainlessStlSheet.png,WP - Stainless Steel Sheet
wpPVCFreeRigidSheet,Wall Protection,0.76,0.01,PVC-Free Rigid Sheet ,./img/WallFinishes/Axons/WallProtection_Axon_WP04_PVCFreeRSWP.png,WP - PVC-Free Rigid Sheet 
wpVinylRigidSheet,Wall Protection,0.61,0.01,Vinyl Rigid Sheet,./img/WallFinishes/Axons/WallProtection_Axon_WP05_RSWP.png,WP - Vinyl Rigid Sheet 
sSolidSurface,Stone / Ceramic,5.92,0.08,Solid Surface,./img/WallFinishes/Axons/StoneCeramic_Axon_SC01_SolidSurface.png,SC - Solid Surface
sSinteredStone,Stone / Ceramic,1.52,0.31,Sintered Stone,./img/WallFinishes/Axons/StoneCeramic_Axon_SC02_SinteredStone.png,SC - Sintered Stone
sPorcelainTile,Stone / Ceramic,0.58,0.11,Porcelain Tile,./img/WallFinishes/Axons/StoneCeramic_Axon_SC03_PorcelainTile.png,SC - Porcelain Tile
mMetalVeneerPanel,Misc.,3.54,0.06,Metal Veneer Panel,./img/WallFinishes/Axons/Misc_Axon_M01_MetalVeneer.png,M - Metal Veneer Panel
mTextile,Misc.,0.68,0,Textile,./img/WallFinishes/Axons/Misc_Axon_M02_Textile.png,M - Textile
mPaint,Misc.,0.04,0,Paint,./img/WallFinishes/Axons/Misc_Axon_M03_Paint.png,M - Paint
mWallpaperNW,Misc.,0.02,0,Wallpaper (Non-Woven),./img/WallFinishes/Axons/Misc_Axon_M04_NonWovenWallpaper.png,M - Wallpaper (Non-Woven)
mWallpaperPaper,Misc.,0.01,0,Wallpaper (Paper),./img/WallFinishes/Axons/Misc_Axon_M05_PaperWallpaper.png,M - Wallpaper (Paper)
mPlasticLaminate,Misc.,0.89,0.04,Plastic Laminate,./img/WallFinishes/Axons/Misc_Axon_M06_PlasticLaminate.png,M - Plastic Laminate
saCemWdPanel,Sound-Absorbing,1.34,0.11,Cementitious Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA01_CementitiousWoodPanel.png,SA - Cementitious Wood Panel
saAcousticWoodPanel,Sound-Absorbing,4.86,0.07,Acoustic Wood Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA02_AcousticWoodPanel.png,SA - Acoustic Wood Panel
saPETFeltPanel,Sound-Absorbing,0.91,0.03,PET Felt Panel,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA03_PET.png,SA - PET Felt Panel
saCorkTile,Sound-Absorbing,0.21,0.16,Cork Tile,./img/WallFinishes/Axons/SoundAbsorbing_Axon_SA04_CorkTile.png,SA - Cork Tile
wBambooPanel,Wood,1.06,0.1,Bamboo Panel,./img/WallFinishes/Axons/Wood_Axon_W01_BambooPanel.png,W - Bamboo Panel
wVeneerMDF,Wood,1.27,0.05,Veneer (on MDF),./img/WallFinishes/Axons/Wood_Axon_W02_VeneeronMDF.png,W - Veneer (on MDF)
wVeneerParticleBoard,Wood,0.9,0.04,Veneer (on Particle Board),./img/WallFinishes/Axons/Wood_Axon_W03_VeneeronParticleBoard.png,W - Veneer (on Particle Board)
